,shcode,index
0,11,141
1,12,127
2,29,136
3,30,166
4,32,67
5,44,49
6,47,22
7,54,69 70 181 182
8,56,89
9,57,8
10,61,76
11,73,46
12,78,173
13,82,174
14,92,168
15,100,50
16,101,84 91
17,111,72
18,114,163 164
19,120,132
20,126,138 139 140
21,128,107 115 168
22,129,10
23,132,77 79
24,138,64
25,141,173
26,145,78
27,146,148
28,152,92
29,154,56
30,156,81 82 107
31,157,14 107 108
32,158,107
33,170,72
34,172,11
35,185,96
36,187,149
37,189,23
38,194,9
39,196,65 66 182
40,199,69 71 73
41,205,25
42,212,109
43,214,91
44,217,53
45,223,108
46,225,173
47,228,5
48,234,88
49,246,147
50,249,22
51,252,105
52,253,2
53,254,170
54,256,124
55,259,157 158
56,265,20
57,268,70
58,270,61
59,273,32 173
60,280,117
61,281,124 126
62,286,126
63,287,19
64,295,16
65,298,24
66,299,117 145
67,317,154
68,320,71
69,328,17
70,342,119
71,343,137
72,344,50 75 174
73,346,113 171
74,349,171
75,353,43
76,354,85 146
77,366,119
78,368,33
79,374,90
80,375,14 66
81,376,3
82,381,82
83,382,139
84,384,163
85,394,146
86,398,91 92
87,399,116
88,401,111 179
89,402,15 97
90,403,97
91,408,132
92,411,12 46
93,415,69 71
94,420,105 169 176
95,426,106 119
96,428,117
97,430,9
98,431,96 119
99,433,112 164
100,441,41
101,442,70 74 147 153
102,443,69 70
103,444,110
104,448,12
105,449,83 84
106,452,171
107,453,137
108,461,9 96
109,464,26
110,465,112
111,467,81
112,471,152
113,473,64 167
114,474,140
115,476,147
116,478,78 85
117,484,21
118,486,69 70
119,492,101 103 105 150 175 177
120,496,72
121,499,8
122,500,9
123,501,91
124,504,28
125,510,13
126,515,4 178
127,521,52
128,528,78
129,532,49
130,533,46
131,543,91
132,549,122
133,551,68 70
134,553,78 86
135,558,10
136,562,13
137,563,27
138,564,166
139,570,89
140,574,113 114 138
141,577,78
142,580,161
143,585,72 175
144,586,178
145,599,147
146,600,63
147,603,111
148,605,10
149,610,102 177
150,619,99
151,634,180
152,636,24
153,653,19
154,663,68
155,679,6
156,687,26 94
157,689,21 22
158,692,178
