,shcode,index
0,11,141
1,12,127
2,29,136
3,30,166
4,32,67
5,44,49
6,54,70 181 182
7,56,89
8,57,8
9,61,76
10,73,46
11,82,174
12,100,50
13,101,84 91
14,111,72
15,114,163 164
16,120,132
17,126,139 140
18,128,107 115 168
19,129,10
20,132,77 79
21,138,64
22,141,173
23,146,148
24,152,92
25,154,56
26,156,81 82 107
27,157,108
28,158,107
29,170,72
30,172,11
31,187,149
32,189,23
33,196,65 66 182
34,199,71 73
35,205,25
36,212,109
37,217,53
38,223,108
39,225,173
40,228,5
41,234,88
42,246,147
43,252,105
44,253,2
45,254,170
46,256,124
47,259,157 158
48,265,20
49,268,70
50,270,61
51,273,32 173
52,280,117
53,281,124 126
54,286,126
55,287,19
56,295,16
57,298,24
58,299,117 145
59,317,154
60,320,71
61,328,17
62,342,119
63,343,137
64,344,50 75 174
65,346,113 171
66,349,171
67,353,43
68,354,85 146
69,366,119
70,368,33
71,374,90
72,375,14
73,376,3
74,381,82
75,382,139
76,384,163
77,399,116
78,401,111 179
79,402,15 97
80,403,97
81,408,132
82,411,12 46
83,415,69 71
84,420,105 169 176
85,426,106 119
86,428,117
87,431,96 119
88,433,112
89,441,41
90,442,70 74 147 153
91,443,70
92,444,110
93,448,12
94,449,83 84
95,452,171
96,453,137
97,461,9 96
98,464,26
99,465,112
100,471,152
101,474,140
102,476,147
103,478,78 85
104,484,21
105,486,69 70
106,492,101 103 105 150 175 177
107,496,72
108,499,8
109,500,9
110,501,91
111,504,28
112,510,13
113,521,52
114,528,78
115,532,49
116,533,46
117,549,122
118,551,68 70
119,553,78 86
120,558,10
121,562,13
122,570,89
123,574,113 114 138
124,577,78
125,580,161
126,585,72 175
127,586,178
128,599,147
129,600,63
130,603,111
131,605,10
132,610,102 177
133,619,99
134,634,180
135,636,24
136,653,19
137,663,68
138,679,6
139,687,26 94
140,689,21 22
141,692,178
142,695,27 61
143,696,159
144,700,93 94
145,706,32
146,714,134
147,723,90 148
148,726,115 147
149,737,112
150,739,20
151,740,65
152,754,13
153,756,62 106
154,757,26
155,758,123
156,764,132
157,767,75
158,774,87
159,775,88
160,780,113
