,shcode,shname,target_m,date,close_ratio,min_target,max_target,close,spot_range,check,inrange,squeezed,volume_default
5,002070,남영비비안,201907,20190802,0.016274864376130127,16450,20050,28100,3.236111111111111,False,False,False,False
6,002070,남영비비안,201907,20190805,-0.06049822064056942,16450,20050,26400,2.763888888888889,False,False,False,False
7,002070,남영비비안,201907,20190806,-0.15530303030303028,16450,20050,22300,1.625,False,False,False,False
8,002070,남영비비안,201907,20190807,0.022421524663677195,16450,20050,22800,1.7638888888888888,False,False,False,False
9,002070,남영비비안,201907,20190808,0.03508771929824572,16450,20050,23600,1.9861111111111112,False,False,False,False
10,002070,남영비비안,201907,20190809,-0.006355932203389814,16450,20050,23450,1.9444444444444444,False,False,True,False
11,002070,남영비비안,201907,20190812,0.01279317697228155,16450,20050,23750,2.0277777777777777,False,False,True,False
12,002070,남영비비안,201907,20190813,-0.06736842105263163,16450,20050,22150,1.5833333333333333,False,False,False,False
13,002070,남영비비안,201907,20190814,0.02483069977426644,16450,20050,22700,1.7361111111111112,False,False,True,False
14,002070,남영비비안,201907,20190816,0.026431718061673992,16450,20050,23300,1.9027777777777777,False,False,False,False
15,002070,남영비비안,201907,20190819,-0.023605150214592308,16450,20050,22750,1.75,False,False,True,False
16,002070,남영비비안,201907,20190820,0.01758241758241752,16450,20050,23150,1.8611111111111112,False,False,True,False
17,002070,남영비비안,201907,20190821,-0.023758099352051865,16450,20050,22600,1.7083333333333333,False,False,False,False
18,002070,남영비비안,201907,20190822,-0.19469026548672563,16450,20050,18200,0.4861111111111111,False,True,False,False
19,002070,남영비비안,201907,20190823,0.0714285714285714,16450,20050,19500,0.8472222222222222,False,True,False,False
1,002140,고려산업,201906,20190612,0.07487520798668879,2320,3005,3230,1.3284671532846715,False,False,True,False
2,002140,고려산업,201906,20190613,0.021671826625387025,2320,3005,3300,1.4306569343065694,False,False,True,False
3,002140,고려산업,201906,20190614,-0.05303030303030298,2320,3005,3125,1.1751824817518248,False,False,True,False
4,002140,고려산업,201906,20190617,-0.05120000000000002,2320,3005,2965,0.9416058394160584,False,True,True,False
5,002140,고려산업,201906,20190618,0.006745362563237878,2320,3005,2985,0.9708029197080292,False,True,True,False
6,002140,고려산업,201906,20190619,-0.005025125628140725,2320,3005,2970,0.948905109489051,False,True,True,False
7,002140,고려산업,201906,20190620,0.01683501683501687,2320,3005,3020,1.0218978102189782,False,False,True,False
