,shcode,index
312,215790,20190125
313,217500,20190703
314,217600,20190717
315,218150,20190419 20190826 20190927
316,220180,20190415
317,220260,20190703 20190708
318,222420,20190529
319,222810,20190213
320,224060,20190226
321,225430,20190122 20190502
322,225570,20190513
323,226360,20190920
324,230240,20190405
325,234100,20190118
326,250000,20190731
327,250060,20190401 20190402 20190613 20190820
328,256630,20190614 20190718
329,256840,20190821
330,257370,20190726
331,263690,20190305
332,264660,20190820
333,269620,20190327
334,285490,20190529 20190603
335,290120,20190510
336,290270,20190226 20190614
337,290380,20190114
338,299900,20190107
339,303030,20190426 20190722
340,308100,20190711
341,317850,20190910
342,900040,20190415
343,900100,20190109 20190307
344,900250,20190222
345,900260,20190218
346,900270,20190226
347,900340,20190225 20190830 20190902
