,index,shcode,shname,target_m,date,close_ratio,open_,low,high,close,volume,volume_ratio,spot_range,min_target,max_target,check,inrange,spot_range_inc,squeezed,volume_default,deal_f,burn_ratio,rotate_ratio,for_net_buy,com_net_buy,per_net_buy,close_ma5,close_ma10,close_ma20,close_ma60,close_ma120,rsi14,rsi14_signal,macd,macdsignal,macdhist,slowk,slowd,ma_g_c,ma_d_c,rsi_g_c,rsi_d_c,macd_g_c,macd_d_c,stoc_g_c,stoc_d_c
0,2,000140,하이트진로홀딩스,201907,20190729,0.0,9310,9260,12000,12000,6291621,1.0,0.5603271983640081,9260,14150,False,True,False,False,False,130.17,5.52,27.11,-99013,-12858,143579,9976.0,9918.0,9920.5,9447.5,,71.83422302151826,52.11164711177454,213.8609207322952,144.56632092062503,69.29459981167017,41.14583333333335,20.215600775193796,9976.0,,71.83422302151826,,213.8609207322952,,41.14583333333335,
1,2,000140,하이트진로홀딩스,201907,20190730,0.004166666666666652,12350,12000,14150,12050,7616938,1.2106479395373624,0.5705521472392638,9260,14150,False,True,False,True,False,87.81,5.56,32.82,1781,-97331,158599,10448.0,10135.0,10066.5,9496.0,8825.583333333334,72.11039795950339,55.02874960996806,359.83849869638834,187.62075647577768,172.21774222061066,52.351738241308816,33.77002385821404,,,,,,,,
2,2,000140,하이트진로홀딩스,201907,20190731,-0.11618257261410792,12150,10450,12300,10650,2326322,0.3697492267890898,0.2842535787321063,9260,14150,False,True,False,False,False,61.08,5.41,10.02,16188,27487,-42516,10694.0,10200.0,10134.5,9522.5,8850.0,55.65496955669181,55.951048309637294,358.42676064892476,221.7819573104071,136.64480333851765,61.82685753237902,51.77480970234038,,,,55.65496955669181,,,,
3,2,000140,하이트진로홀딩스,201907,20190801,-0.06572769953051638,10650,9820,11100,9950,1521007,0.2417512116511786,0.1411042944785276,9260,14150,False,True,False,False,False,69.21,5.36,6.55,-8585,1012,5162,10782.0,10218.0,10171.0,9538.166666666666,8867.916666666666,49.56467557842114,56.61453736435862,297.3956067866784,236.90468720566136,60.49091958101704,33.197000681663276,49.12519881845035,,,,,,,,33.197000681663276
4,2,000140,하이트진로홀딩스,201907,20190802,0.045226130653266416,10400,9970,10850,10400,2206395,0.3506878434031548,0.2331288343558282,9260,14150,False,True,True,True,False,105.72,5.11,9.51,-28685,530,25074,11010.0,10286.0,10200.0,9561.0,8889.416666666666,53.1165152106641,57.58454247783414,282.08748787139666,245.9412473388084,36.14624053258825,21.94955691888209,38.99113837764144,,,,,,,,
5,2,000140,하이트진로홀딩스,201907,20190805,0.17307692307692313,10900,10450,12900,12200,5418072,0.8611567670716338,0.6012269938650306,9260,14150,False,True,True,False,False,101.44,5.13,23.35,4861,-26857,23964,11050.0,10513.0,10260.0,9612.166666666666,8926.25,64.02884702494515,61.05160472529064,410.4690187739943,278.8468016258456,131.6222171481487,30.796223617034357,28.647593739193223,,,64.02884702494515,,,,30.796223617034357,
6,2,000140,하이트진로홀딩스,201907,20190806,0.012295081967213184,11600,11500,13450,12350,3341082,0.5310367550747256,0.6319018404907976,9260,14150,False,True,True,False,False,90.43,5.05,14.4,-18512,-1256,23520,11110.0,10779.0,10350.0,9664.166666666666,8964.166666666666,64.7648461331731,59.87337524389977,518.3409416318809,326.74562962705267,191.59531200482826,49.32507036674,34.02361696755213,,,,,,,,
7,2,000140,하이트진로홀딩스,201907,20190807,-0.06477732793522262,12850,11250,12900,11550,1821572,0.28952347892538344,0.46830265848670755,9260,14150,False,True,False,False,False,60.34,4.84,7.85,-50773,-1975,29520,11290.0,10992.0,10422.5,9702.0,8995.25,57.95415873716357,57.51400204017646,533.1312978124824,368.02276326413863,165.1085345483438,57.44024328949798,45.853845757757426,,,,,,,,
8,2,000140,하이트진로홀딩스,201907,20190808,-0.051948051948051965,11300,10450,11300,10950,1110817,0.17655497684936838,0.3456032719836401,9260,14150,False,True,False,True,False,67.13,5.07,4.79,49147,27514,-54704,11490.0,11136.0,10474.0,9726.333333333334,9021.333333333334,53.41706667735917,57.14101822695435,490.7803655002772,392.5742837113663,98.20608178891086,48.505430480352125,51.75691471219668,,,,53.41706667735917,,,,48.505430480352125
9,2,000140,하이트진로홀딩스,201907,20190809,-0.0091324200913242,11100,10650,11100,10850,528349,0.08397660952558966,0.32515337423312884,9260,14150,False,True,False,True,True,63.62,4.95,2.28,-28048,-10,28058,11580.0,11295.0,10514.0,9749.333333333334,9045.583333333334,52.67687126242081,57.65971750762097,444.0292890106539,402.86528477122386,41.16400423943003,29.717551692473336,45.2210751541078,,,,,,,,
