,date,open_,low,high,close,volume,range_position,shcode,month_ma5_score,week_ma5_score,week_ma20_score,week_golden_cross,week_dead_cross,week_up,week_down
5,20190208,6080,6060,7340,6950,4549166,0.6953125,074610,0.0,0.5,0.0,0,0,0,5
6,20190521,3760,3600,4445,4445,5536707,1.0,074610,0.0,0.0,0.0,0,0,0,5
7,20190522,4870,4610,5730,5160,11928382,0.49107142857142855,074610,0.0,0.0,0.0,0,0,0,5
7,20190619,9380,9000,11000,9720,16991028,0.36,074610,0.3,0.8500000000000001,0.8500000000000001,1,0,1,4
6,20191001,6400,6150,8320,8140,8359175,0.9170506912442397,074610,0.8,0.3,1.0,0,1,4,1
6,20191010,7500,7410,9280,8580,11409493,0.6256684491978609,074610,0.8,0.15,1.0,0,1,3,2
8,20191101,12200,11450,13250,12300,33113413,0.4722222222222222,074610,0.8500000000000001,0.7,1.0,0,1,0,5
7,20190925,6770,6750,7680,7180,2890403,0.46236559139784944,077500,0.8,0.7,0.35,0,0,0,5
7,20190220,13050,13000,15000,14750,3357369,0.875,078520,0.0,0.8500000000000001,0.0,1,0,2,3
6,20190219,41800,41800,45950,45650,1127061,0.927710843373494,079160,0.0,0.4,0.0,1,0,1,4
3,20190212,32700,32650,35200,33500,765075,0.3333333333333333,079440,0.0,0.8500000000000001,0.0,0,0,0,5
7,20181212,19150,19100,22650,21600,1783225,0.704225352112676,081000,0.2,0.2,0.0,0,0,0,5
7,20181219,25300,25000,29350,25650,2757880,0.14942528735632185,081000,0.2,0.5,0.0,0,0,0,5
8,20190125,38850,38450,47600,43700,5198116,0.5737704918032787,081000,0.44999999999999996,1.0,1.0,1,0,4,1
6,20190617,26900,26900,31100,29850,1133788,0.7023809523809523,081000,1.0,0.0,0.35,0,0,0,5
8,20190718,29850,29850,38700,37400,4939820,0.8531073446327684,081000,0.7,0.8500000000000001,0.0,0,0,0,5
7,20181205,2065,2055,2680,2680,31318065,1.0,084680,0.3,1.0,1.0,0,0,5,0
7,20190516,2405,2360,3065,2885,19548791,0.7446808510638298,084680,1.0,1.0,0.3,0,0,0,5
5,20190611,3100,3060,3685,3400,20513992,0.544,084680,1.0,1.0,0.8500000000000001,1,0,4,1
6,20190624,3470,3450,3970,3740,17687161,0.5576923076923077,084680,1.0,1.0,1.0,0,0,5,0
7,20190807,3190,3185,3690,3690,14061770,1.0,084680,1.0,0.5,1.0,0,0,5,0
6,20191029,3500,3500,4585,4585,34328382,1.0,084680,1.0,0.5,1.0,0,0,5,0
6,20190806,3035,3000,3900,3760,13343461,0.8444444444444444,084870,0.3,0.5,1.0,0,0,5,0
7,20181219,1605,1570,1800,1685,16414670,0.5,085310,0.0,0.7,0.0,0,0,0,5
6,20190129,2070,2065,2430,2180,26956519,0.3150684931506849,085310,0.3,1.0,1.0,1,0,5,0
6,20191112,4645,4645,5800,4935,13012552,0.2510822510822511,089470,0.5,0.3,0.0,0,0,0,5
8,20190412,39650,39200,46000,41200,994491,0.29411764705882354,089590,0.5,1.0,1.0,0,0,5,0
6,20181210,1935,1935,2285,2075,11035873,0.4,090080,0.5,0.2,0.0,0,0,0,5
7,20181212,2195,2155,2660,2510,19703179,0.7029702970297029,090080,0.5,0.2,0.0,0,0,0,5
8,20190118,2840,2840,3360,3130,23573608,0.5576923076923077,090080,0.3,1.0,0.0,1,0,1,4
7,20190904,1675,1515,1795,1545,14593495,0.10714285714285714,090080,0.15,0.3,0.0,0,0,0,5
6,20190409,1945,1945,2545,2430,21417093,0.8083333333333333,090370,0.0,0.3,0.0,0,0,0,5
7,20191030,163000,159500,185500,184000,1310133,0.9423076923076923,090430,0.0,1.0,0.0,1,0,1,4
8,20190221,7530,7530,8900,8290,3116821,0.5547445255474452,091810,0.0,0.4,0.0,0,0,0,5
6,20190821,4910,4880,6110,5460,10273841,0.4715447154471545,091810,0.15,0.0,0.0,0,0,0,5
6,20191112,5160,5130,6020,5560,6029850,0.48314606741573035,091810,0.0,0.6499999999999999,0.0,0,0,0,5
6,20190510,1520,1435,1635,1635,79836078,1.0,092220,0.5,1.0,1.0,0,0,5,0
8,20190118,5470,5430,6410,6200,3554180,0.7857142857142857,092780,0.5,0.8500000000000001,0.8500000000000001,0,0,5,0
6,20190121,6500,6470,7970,7640,5884276,0.78,092780,0.5,1.0,1.0,0,0,5,0
8,20190405,257,253,315,263,111547940,0.16129032258064516,093230,0.3,0.0,0.0,0,0,0,5
6,20190409,249,238,293,267,88264146,0.5272727272727272,093230,0.3,0.3,0.3,1,0,1,4
5,20190610,249,248,299,299,84324944,1.0,093230,0.7,0.5,1.0,0,0,5,0
5,20190611,322,280,354,335,174734130,0.7432432432432432,093230,0.7,0.5,1.0,0,0,5,0
6,20190617,380,371,455,455,108706856,1.0,093230,0.7,0.7,1.0,0,0,5,0
6,20190716,596,595,742,711,226376290,0.7891156462585034,093230,0.8500000000000001,1.0,1.0,0,0,5,0
8,20190321,8100,8100,8660,8500,2817110,0.7142857142857143,093370,0.0,0.6,0.0,1,0,3,2
6,20190701,7770,7210,7880,7460,8131947,0.373134328358209,093370,0.0,0.0,0.0,0,0,0,5
7,20190703,7490,7420,8920,8580,32475865,0.7733333333333333,093370,0.0,0.0,0.0,0,0,0,5
8,20190711,8430,8350,9180,8620,31531372,0.3253012048192771,093370,0.0,0.3,0.0,0,0,0,5
6,20190715,8650,8510,11000,11000,37028020,1.0,093370,0.0,0.5,0.3,0,0,0,5
6,20190716,11450,11100,13650,12100,74833154,0.39215686274509803,093370,0.0,0.5,0.3,0,0,0,5
5,20190311,3185,3185,3775,3720,15011832,0.9067796610169492,095720,0.0,0.7,0.0,0,0,0,5
5,20191014,2965,2945,3365,3250,38517987,0.7261904761904762,095720,0.0,1.0,0.3,0,0,0,5
6,20190716,5920,5750,7600,7600,4845228,1.0,096760,0.15,0.35,0.0,0,0,0,5
7,20190116,1320,1215,1415,1275,25106249,0.3,097230,0.0,0.15,0.0,0,0,0,5
7,20190123,1170,1145,1530,1450,28749442,0.7922077922077922,097230,0.0,0.0,0.0,0,0,0,5
8,20190124,1380,1355,1775,1690,43692651,0.7976190476190477,097230,0.0,0.0,0.0,0,0,0,5
6,20190423,2200,1930,2650,1990,34028484,0.08333333333333333,097230,0.0,1.0,0.0,0,0,0,5
5,20190514,9700,9670,12650,11500,2933572,0.6140939597315436,100220,0.5,1.0,1.0,0,0,5,0
8,20181220,4720,4350,5450,4990,6179869,0.5818181818181818,101140,0.8500000000000001,1.0,1.0,0,0,5,0
8,20191031,2675,2595,3410,3390,6054045,0.9754601226993865,101140,0.0,0.0,0.0,0,0,0,5
8,20191101,4100,3800,4405,4405,6182112,1.0,101140,0.0,0.0,0.0,0,0,0,5
8,20190124,9960,9920,12450,11200,1863726,0.5059288537549407,101530,0.0,0.0,0.0,0,0,0,5
6,20190730,1045,1040,1310,1310,65979920,1.0,102280,0.15,0.35,0.2,0,0,5,0
6,20190805,1180,1150,1385,1315,82544384,0.7021276595744681,102280,0.44999999999999996,0.6,0.5,0,0,5,0
5,20191007,12800,12700,16300,16300,1514134,1.0,102460,0.3,0.35,0.0,0,0,0,5
7,20190220,29450,29300,31950,31800,745821,0.9433962264150944,103140,0.0,0.7,0.0,1,0,3,2
8,20191206,3005,2990,3825,3375,7241541,0.46107784431137727,103590,0.2,0.2,0.0,0,0,5,0
5,20190207,6050,5950,7540,7530,9910133,0.9937106918238994,105840,0.3,0.8500000000000001,0.7,1,0,2,3
7,20190822,5310,5160,6660,6660,13375891,1.0,105840,0.7,0.0,0.3,0,1,1,4
6,20191125,4355,4340,5440,4820,4183372,0.43636363636363634,105840,0.35,0.0,0.0,0,0,0,5
7,20190516,37500,37500,41250,40700,626016,0.8533333333333334,111770,0.3,1.0,0.2,1,0,3,2
6,20191105,12000,12000,14450,13600,1862501,0.6530612244897959,115390,0.0,0.15,0.0,0,0,0,5
7,20190308,5780,5750,7250,6730,6110793,0.6533333333333333,119650,0.7,0.7,1.0,0,0,5,0
7,20190417,6790,6650,8690,8690,7330663,1.0,119650,0.8500000000000001,1.0,1.0,0,0,5,0
8,20190418,9350,8700,10500,9290,11824273,0.3277777777777778,119650,0.8500000000000001,1.0,1.0,0,0,5,0
7,20190123,11000,10900,13150,11900,3228905,0.4444444444444444,123690,0.0,0.0,0.0,0,0,0,5
8,20190808,6850,6850,8890,8120,3630974,0.6225490196078431,123690,0.3,0.15,0.0,0,0,0,5
6,20190812,8410,8260,9660,8600,3254560,0.24285714285714285,123690,0.3,0.0,0.0,0,0,0,5
8,20191129,9350,9330,10400,10400,8103026,1.0,123690,0.0,0.55,0.0,0,0,0,5
6,20191202,10300,9740,11150,11000,7054231,0.8936170212765957,123690,0.3,0.8,0.3,1,0,1,4
8,20190517,2560,2560,3040,2715,9487383,0.3229166666666667,129260,0.5,0.7,0.5,0,0,0,5
5,20190104,2600,2600,3345,3250,9527643,0.87248322147651,133820,0.3,1.0,0.8500000000000001,1,0,4,1
8,20190222,3280,3275,3985,3455,16496460,0.2535211267605634,133820,0.5,0.8,1.0,0,0,5,0
6,20190225,3450,3385,3950,3790,10840551,0.7168141592920354,133820,0.5,0.8,1.0,0,0,5,0
8,20190426,3365,3250,4465,4465,17238901,1.0,133820,0.8500000000000001,0.7,1.0,0,0,5,0
8,20190719,5530,5530,6760,6190,11241875,0.5365853658536586,138490,0.35,0.5,0.0,0,0,0,5
8,20190118,3215,3215,4065,3900,11355567,0.8058823529411765,144620,0.15,1.0,0.0,1,0,1,4
6,20190218,5330,5320,6760,6370,10992179,0.7291666666666666,155660,0.0,0.7,0.3,0,0,5,0
7,20190522,4170,4130,5420,5420,3693408,1.0,155660,0.7,0.35,1.0,0,1,4,1
7,20190607,5020,5000,6220,5490,8182623,0.4016393442622951,155660,0.8500000000000001,0.44999999999999996,1.0,0,1,2,3
6,20190528,7750,7720,9910,8150,6204096,0.1963470319634703,161000,0.5,0.0,1.0,0,1,3,2
6,20191105,34250,34200,36500,35850,1050396,0.717391304347826,161390,0.0,1.0,0.0,1,0,1,4
5,20190214,71000,69700,74000,72600,768881,0.6744186046511628,161890,0.2,0.15,0.0,1,0,5,0
6,20190408,28700,26550,31350,30400,11006226,0.8020833333333334,180640,1.0,0.2,0.7,0,0,0,5
7,20190410,30150,29350,32900,32900,10341401,1.0,180640,1.0,0.2,0.7,0,0,0,5
6,20190409,25200,24750,27950,27950,938084,1.0,18064K,1.0,0.3,1.0,0,0,0,5
7,20190410,32450,32300,36300,36300,551206,1.0,18064K,1.0,0.3,1.0,0,0,0,5
8,20190412,61200,55100,61200,61200,633527,1.0,18064K,1.0,0.3,1.0,0,0,0,5
6,20190416,58000,52300,79100,73000,1253200,0.7723880597014925,18064K,1.0,0.44999999999999996,1.0,1,0,1,4
8,20190201,59500,59400,69400,67500,624458,0.81,181710,0.0,0.8500000000000001,0.2,1,0,5,0
5,20190214,63800,63200,74100,72100,673236,0.8165137614678899,181710,0.0,1.0,0.6499999999999999,0,0,5,0
7,20190424,66800,64700,71600,71600,817040,1.0,192080,0.3,1.0,0.7,0,0,5,0
6,20190429,15900,15850,20350,19400,9338391,0.7888888888888889,192650,0.0,0.5,0.0,0,0,0,0
8,20191031,75600,75400,83500,79900,547181,0.5555555555555556,192820,0.0,0.15,0.0,0,0,0,5
8,20190405,6360,6360,7400,7060,3788651,0.6730769230769231,200880,0.3,1.0,1.0,0,0,5,0
8,20190726,32700,32400,35050,34950,2676141,0.9622641509433962,204320,0.2,0.35,0.0,0,0,0,5
6,20181211,393000,385000,420000,394000,1393121,0.2571428571428571,207940,0.2,0.0,0.0,0,0,0,5
7,20191023,377000,365000,380500,372500,565378,0.4838709677419355,207940,0.0,1.0,1.0,1,0,4,1
8,20191121,6110,6110,8030,7940,13046760,0.953125,214330,0.3,1.0,0.3,1,0,3,2
8,20190419,13750,13750,15500,15100,1502345,0.7714285714285715,214420,0.5,0.6,0.7,0,0,5,0
8,20191129,9730,9610,11500,10350,2926370,0.3915343915343915,214420,0.3,0.55,0.0,1,0,3,2
6,20190215,27800,27700,30750,30050,725696,0.7704918032786885,226320,0.0,0.7,0.0,0,0,0,5
8,20190927,16050,15150,16800,16500,1231994,0.8181818181818182,227840,0.0,0.7,0.0,0,0,0,5
7,20190327,24350,24200,30950,27850,1393372,0.5407407407407407,234080,0.0,1.0,1.0,1,0,5,0
8,20191114,16000,15800,17100,16400,1422360,0.46153846153846156,241590,1.0,0.7,0.6499999999999999,0,0,5,0
7,20191106,17300,17200,22250,19000,6399683,0.3564356435643564,249420,0.0,0.6499999999999999,0.0,0,0,0,5
5,20190208,115000,112500,128000,119000,1354003,0.41935483870967744,251270,0.0,0.35,0.0,0,0,0,5
6,20190806,11550,11500,14650,13000,1625937,0.47619047619047616,26490K,1.0,0.8,0.8,1,0,5,0
8,20190411,12650,12250,15700,15700,5677704,1.0,267850,0.0,0.3,0.0,0,0,1,0
8,20190412,16500,16300,19950,17800,6100182,0.410958904109589,267850,0.0,0.3,0.0,0,0,1,0
8,20190530,17200,17000,22100,22100,6266893,1.0,267850,0.3,0.5,1.0,0,0,5,0
6,20190604,21000,21000,25950,23350,6726051,0.47474747474747475,267850,0.5,0.6,1.0,0,0,5,0
5,20190819,18950,18950,23500,20850,2829219,0.4175824175824176,267850,0.8500000000000001,0.0,1.0,0,0,5,0
8,20191108,17900,17800,22650,22650,6842351,1.0,267850,0.7,0.3,0.15,0,0,0,5
6,20191111,24000,22600,29400,29400,8976679,1.0,267850,0.7,0.5,0.44999999999999996,0,0,0,5
5,20190104,46850,45950,54100,52300,1299535,0.7791411042944786,271980,0.8500000000000001,0.15,1.0,0,1,4,1
7,20190614,36550,36350,45900,40650,1310103,0.450261780104712,271980,0.35,0.0,0.0,0,0,0,5
6,20190415,27400,26250,31250,29000,5184355,0.55,272450,0.3,1.0,1.0,0,0,5,0
6,20190430,18050,17850,20550,19900,1406129,0.7592592592592593,281820,0.5,0.5,1.0,0,0,5,0
7,20190516,48000,43850,53000,51400,413197,0.825136612021858,284740,0.5,0.7,0.7,0,0,5,0
7,20191127,56000,56000,73400,73400,1392774,1.0,285130,0.0,0.8500000000000001,0.0,1,0,3,2
8,20191128,85200,75000,89100,77200,5391611,0.15602836879432624,285130,0.0,0.8500000000000001,0.0,1,0,3,2
8,20191122,21650,21650,28050,24000,1154492,0.3671875,28513K,0.15,0.8500000000000001,0.0,0,0,0,5
6,20191125,24000,23850,30350,29500,1334936,0.8692307692307693,28513K,0.15,0.8500000000000001,0.0,1,0,1,4
7,20191127,28050,27000,37150,37150,1400880,1.0,28513K,0.15,0.8500000000000001,0.0,1,0,1,4
8,20190411,4610,4610,5990,5990,8777518,1.0,298690,0.0,0.44999999999999996,0.0,0,0,0,0
8,20190412,6650,6510,7310,6980,42557144,0.5875,298690,0.0,0.44999999999999996,0.0,0,0,0,0
6,20190415,8160,7500,9070,9070,19100629,1.0,298690,0.0,0.6499999999999999,0.0,0,0,0,0
8,20190419,7700,7630,9400,8340,35218673,0.4011299435028249,298690,0.0,0.6499999999999999,0.0,0,0,0,0
8,20190530,6320,6240,7720,7500,12380389,0.8513513513513513,298690,0.0,0.5,0.5,0,0,3,0
8,20190704,6670,6470,8100,7660,34638716,0.7300613496932515,298690,0.5,0.8500000000000001,1.0,0,0,5,0
5,20190819,5590,5530,7130,6940,11415348,0.88125,298690,0.7,0.5,1.0,0,1,4,1
8,20191108,6560,6320,7980,7150,30909250,0.5,298690,0.5,0.5,0.3,0,0,0,5
6,20191112,7320,7180,9320,9320,56957199,1.0,298690,0.5,0.6499999999999999,0.44999999999999996,0,0,0,5
1,20191021,6970,6670,7160,7160,21919889,1.0,336260,,0.0,0.0,0,0,0,0
4,20190916,13770,13025,13860,13205,1613478,0.2155688622754491,500019,0.7,0.5,0.0,0,0,0,5
6,20190423,8390,8210,9520,8380,2485815,0.1297709923664122,000440,0.15,0.2,0.0,0,0,0,5
4,20190917,8250,8200,10800,10250,3720917,0.7884615384615384,000440,0.15,0.5,0.0,0,0,0,5
8,20191121,1975,1940,2470,2290,19469818,0.660377358490566,001000,0.0,0.2,0.0,0,0,0,5
7,20190327,13450,13350,16200,15100,1421111,0.6140350877192983,001540,0.0,1.0,0.7,1,0,4,1
6,20190821,13250,11950,13900,11950,3982327,0.0,001540,0.7,0.0,0.0,0,0,0,5
6,20190909,10400,10300,13350,12050,5123590,0.5737704918032787,001540,0.5,0.7,0.0,0,0,0,5
4,20190108,7150,7120,8350,7890,4221952,0.6260162601626016,001840,0.15,0.8,0.15,0,0,0,5
6,20191001,3285,3250,3870,3390,8846771,0.22580645161290322,002290,0.0,0.8500000000000001,0.0,0,0,0,5
8,20190221,3030,3000,3550,3160,6958820,0.2909090909090909,002680,0.5,1.0,1.0,0,0,5,0
8,20190404,7550,7520,8580,8010,3115843,0.46226415094339623,002800,0.3,0.35,0.2,0,0,5,0
8,20191107,7150,7070,8480,7410,6303515,0.24113475177304963,002800,0.0,0.6499999999999999,0.0,0,0,0,5
7,20190220,1690,1665,1970,1815,37446343,0.4918032786885246,003310,0.0,1.0,0.0,1,0,3,2
7,20191106,1410,1395,1720,1555,17710467,0.49230769230769234,003310,0.0,0.15,0.0,0,0,0,5
6,20191126,4370,4365,5250,4650,8843565,0.3220338983050847,004780,0.0,0.0,0.0,0,0,0,5
8,20190712,3145,2920,3420,2965,14956311,0.09,005160,0.55,0.8500000000000001,0.8,0,0,0,5
6,20190701,11100,10450,12150,11850,15997602,0.8235294117647058,005290,1.0,0.5,1.0,0,1,4,1
7,20190703,12650,12300,13150,12950,16108714,0.7647058823529411,005290,1.0,0.5,1.0,0,1,4,1
6,20190708,12900,12850,14350,14000,22106491,0.7666666666666667,005290,1.0,0.6,1.0,1,1,4,1
8,20191025,17200,17050,20000,18800,11003187,0.5932203389830508,005290,1.0,1.0,1.0,0,0,5,0
6,20190319,1820,1815,2280,2065,31279387,0.5376344086021505,005860,0.0,0.15,0.5,0,0,5,0
6,20190423,2305,2265,2750,2580,55689208,0.6494845360824743,005860,0.3,0.7,1.0,1,1,2,3
4,20190917,2205,2025,2390,2330,25920569,0.8356164383561644,005860,0.3,0.7,0.0,0,0,0,5
7,20190925,2310,2240,2915,2760,45388813,0.7703703703703704,005860,0.3,0.8500000000000001,0.0,0,0,0,5
6,20191112,1365,1355,1705,1510,47790882,0.44285714285714284,006050,0.0,0.3,0.15,0,1,1,4
7,20181205,2575,2560,2905,2850,12341581,0.8405797101449275,006910,0.15,0.3,0.0,0,0,0,5
5,20190207,3000,3000,3250,3120,8339763,0.48,006910,0.0,0.8500000000000001,0.0,1,0,2,3
7,20190313,2915,2760,3095,2875,10228383,0.34328358208955223,006910,0.0,0.5,0.4,0,0,5,0
4,20190917,2120,2105,2485,2195,13559492,0.23684210526315788,006910,0.0,0.3,0.0,0,0,0,5
7,20190130,6970,6590,7440,6800,3681709,0.24705882352941178,006920,0.0,0.8,0.2,0,0,0,5
8,20191121,4285,4285,5090,4540,12731213,0.3167701863354037,007370,0.0,0.7,0.3,1,0,2,3
8,20190117,10750,10750,13350,12300,15297219,0.5961538461538461,007390,0.3,0.0,1.0,0,1,2,3
6,20190128,12600,12500,15450,14200,16265387,0.576271186440678,007390,0.3,0.3,1.0,0,1,0,5
6,20190528,10250,10200,12350,11500,5324443,0.6046511627906976,007390,0.3,0.15,0.5,0,1,0,5
8,20190627,8220,8130,10250,8770,12540480,0.3018867924528302,007390,0.15,0.0,0.15,0,0,0,5
5,20191007,7220,7160,8540,8230,5861423,0.7753623188405797,007390,0.0,0.3,0.0,0,0,0,5
7,20191023,7490,7400,9490,9490,19224402,1.0,007390,0.0,0.7,0.0,0,0,0,5
6,20191028,8820,8820,11500,10550,25567892,0.6455223880597015,007390,0.0,0.8500000000000001,0.0,0,0,0,5
7,20190116,2100,2055,2585,2585,23473578,1.0,007720,0.0,0.15,0.0,0,0,0,5
8,20190117,2650,2585,2880,2735,28416145,0.5084745762711864,007720,0.0,0.15,0.0,0,0,0,5
6,20191010,4340,4130,5100,4765,6692549,0.654639175257732,008290,0.8,0.8500000000000001,0.6499999999999999,0,0,0,5
5,20191015,4770,4770,5510,5080,5058572,0.4189189189189189,008290,0.8,1.0,0.8,1,0,1,4
8,20190328,6000,5940,7320,6550,7146254,0.4420289855072464,008470,0.4,1.0,0.7,1,0,3,2
7,20190111,7390,7350,9430,8950,19606350,0.7692307692307693,009520,0.8,1.0,1.0,0,0,5,0
7,20190123,9000,9000,11200,10450,22156511,0.6590909090909091,009520,0.8,1.0,1.0,0,0,5,0
6,20190702,6580,6440,7350,6930,5877784,0.5384615384615384,009520,0.35,0.5,0.0,0,0,0,5
6,20190813,4880,4790,6400,6000,10947484,0.7515527950310559,009520,0.3,0.0,0.0,0,0,0,5
8,20190628,2700,2430,2800,2785,15816321,0.9594594594594594,009620,0.35,0.0,0.0,0,1,0,5
6,20190902,1690,1675,2035,1955,13133191,0.7777777777777778,009620,0.15,0.0,0.0,0,0,0,5
7,20190904,1900,1860,2240,2150,19177900,0.7631578947368421,009620,0.15,0.0,0.0,0,0,0,5
6,20181211,872,869,1130,1045,20533775,0.6743295019157088,009730,0.0,0.15,0.0,0,0,0,5
6,20190218,5290,5280,5620,5510,7689728,0.6764705882352942,010170,0.0,0.5,0.0,0,0,0,5
6,20190409,4245,4240,4880,4520,16236327,0.4375,010170,0.0,0.0,0.0,0,0,0,5
7,20190502,4260,4260,5410,5270,45560292,0.8782608695652174,010170,0.0,0.0,0.0,0,0,0,5
7,20190614,4625,4565,5740,5180,60101952,0.5234042553191489,010170,0.0,0.35,0.0,0,0,0,5
8,20190829,3650,3635,4230,3950,23085307,0.5294117647058824,010170,0.0,0.0,0.0,0,0,0,5
6,20181217,5430,5430,7000,7000,5320992,1.0,010240,0.0,0.7,0.3,0,0,0,5
6,20181218,7600,6990,8150,7780,10556372,0.6810344827586207,010240,0.0,0.7,0.3,0,0,0,5
4,20190213,7270,7270,9120,8430,13081068,0.6270270270270271,010240,0.5,0.5,1.0,0,0,5,0
6,20190520,6130,6090,6800,6240,3767726,0.2112676056338028,010240,1.0,0.15,0.5,0,1,1,4
8,20190905,4690,4690,5590,5000,4280200,0.34444444444444444,010240,0.35,0.15,0.15,0,1,2,3
6,20190821,1975,1955,2405,2390,8666326,0.9666666666666667,010280,0.7,0.8500000000000001,0.5,1,0,1,4
8,20191114,2075,1955,2400,2275,9284194,0.7191011235955056,010280,0.8500000000000001,0.3,1.0,0,0,5,0
6,20191119,5020,4995,6230,5750,4457564,0.611336032388664,010470,0.15,0.8500000000000001,0.0,1,0,1,4
8,20181213,4810,4675,5190,5000,10411433,0.6310679611650486,011320,0.0,0.2,0.0,0,0,0,5
6,20181218,5310,5250,6790,6610,18737098,0.8831168831168831,011320,0.0,0.5,0.3,0,0,0,5
6,20190325,7770,7750,9150,8120,8727729,0.2642857142857143,011320,0.7,0.0,1.0,0,0,5,0
6,20190617,7320,7280,9100,8730,14784332,0.7967032967032966,011320,1.0,0.0,0.15,0,0,0,5
7,20190327,11300,11250,13100,11950,2303011,0.3783783783783784,011560,0.0,0.5,0.8,0,0,5,0
8,20190118,940,927,1175,1090,25795287,0.657258064516129,012340,0.0,1.0,0.0,1,0,1,4
6,20190708,5720,5640,6720,6440,4412942,0.7407407407407407,012700,0.55,0.5,0.8,0,1,0,5
6,20190729,5840,5730,7450,6950,21575168,0.7093023255813954,012700,0.55,1.0,0.8500000000000001,1,0,3,2
8,20191122,7040,7020,7940,7660,2889240,0.6956521739130435,012700,0.8500000000000001,0.5,1.0,0,1,1,4
5,20191014,1835,1805,2340,2255,14929037,0.8411214953271028,012860,0.5,0.7,1.0,0,0,5,0
8,20190201,3025,3005,3585,3285,17949500,0.4827586206896552,013310,0.3,1.0,0.3,1,0,1,4
5,20190207,3400,3335,3955,3755,18238323,0.6774193548387096,013310,0.3,1.0,0.5,1,0,2,3
3,20190212,3660,3655,4290,3835,22522026,0.28346456692913385,013310,0.3,1.0,0.7,1,0,3,2
8,20190718,2650,2600,3350,3350,35364832,1.0,013310,0.7,0.5,0.0,0,0,0,5
8,20190117,4860,4735,5680,4960,4358198,0.23809523809523808,013810,0.15,0.5,0.0,0,0,0,5
8,20190315,3835,3800,4565,4155,7901632,0.46405228758169936,013810,0.2,0.3,0.2,0,0,5,0
7,20191204,3490,3380,3985,3830,16821096,0.743801652892562,013810,0.0,0.7,0.0,1,0,1,4
5,20191206,3680,3520,3720,3645,1957563,0.625,013810,0.0,0.8500000000000001,0.3,1,0,2,3
6,20190806,2955,2950,3905,3905,9003260,1.0,013990,0.15,0.3,0.0,0,0,0,5
7,20191120,3735,3720,4380,4125,8846021,0.6136363636363636,013990,0.3,0.8500000000000001,1.0,0,0,5,0
8,20190801,7390,7320,9400,7990,3156727,0.32211538461538464,014100,0.3,0.3,0.0,0,0,0,5
6,20190806,8830,8660,10900,10300,4391776,0.7321428571428571,014100,0.3,0.15,0.0,0,0,0,5
6,20190903,2020,2010,2555,2375,18176462,0.6697247706422018,014190,0.0,0.0,0.0,0,0,0,5
6,20190920,2375,2355,2675,2510,13901485,0.484375,014190,0.0,0.5,0.0,0,0,0,5
8,20190201,3605,3595,4250,4100,7453722,0.7709923664122137,014200,0.3,0.6499999999999999,0.5,1,0,1,4
7,20190522,2510,2510,3325,3325,6476738,1.0,014200,0.8500000000000001,0.0,0.8500000000000001,0,0,0,5
8,20190222,2425,2425,3135,2860,20213919,0.6126760563380281,014470,0.0,1.0,0.0,1,0,3,2
6,20190225,2800,2775,3645,3455,27082402,0.7816091954022989,014470,0.0,1.0,0.3,1,0,4,1
8,20190530,2240,2240,2885,2450,11611323,0.32558139534883723,014470,0.7,0.15,1.0,0,1,4,1
6,20190603,2475,2415,3080,2930,19305463,0.7744360902255639,014470,0.8500000000000001,0.15,1.0,0,1,3,2
6,20190617,2950,2950,3655,3655,16855914,1.0,014470,0.8500000000000001,0.3,1.0,0,1,1,4
6,20190618,3850,3705,4390,4085,43191770,0.5547445255474452,014470,0.8500000000000001,0.3,1.0,0,1,1,4
6,20191105,6640,6510,8540,8540,12401235,1.0,014570,0.0,0.6499999999999999,0.0,0,0,0,5
6,20190624,4970,4940,6140,5900,4094191,0.8,014970,0.4,0.2,0.0,0,0,0,5
6,20190625,6440,5930,7080,6320,6574005,0.3391304347826087,014970,0.4,0.2,0.0,0,0,0,5
7,20190626,6850,6400,7950,7300,9627472,0.5806451612903226,014970,0.4,0.2,0.0,0,0,0,5
6,20190723,8500,7980,9830,8460,10691478,0.2594594594594595,014970,0.6499999999999999,0.8500000000000001,0.8500000000000001,1,0,4,1
8,20190725,9040,9000,10400,9480,13066389,0.34285714285714286,014970,0.6499999999999999,0.8500000000000001,0.8500000000000001,1,0,4,1
6,20190826,8510,8450,10350,9450,11573195,0.5263157894736842,014970,0.8,1.0,1.0,0,0,5,0
6,20191028,9410,9410,12200,12200,2651884,1.0,014970,0.8500000000000001,0.15,1.0,0,0,5,0
4,20190213,7010,7010,7980,7500,2671461,0.5051546391752577,015710,0.0,0.8500000000000001,0.0,1,0,3,2
8,20191108,6370,6370,7420,6900,5285720,0.5047619047619047,016100,0.0,0.3,0.0,0,0,0,5
6,20190415,670,663,865,865,25472125,1.0,016600,0.0,0.0,0.15,0,1,4,1
6,20191118,610,606,779,695,56699638,0.5144508670520231,016600,0.15,0.7,0.0,0,0,0,5
7,20181227,1085,1070,1380,1380,16625953,1.0,016670,0.0,0.6499999999999999,0.0,0,0,0,5
5,20190208,1700,1670,2050,1930,18309754,0.6842105263157895,016670,0.5,1.0,1.0,0,0,5,0
3,20190211,1955,1925,2345,2285,28592164,0.8571428571428571,016670,0.5,1.0,1.0,0,0,5,0
6,20190520,1820,1720,2040,1935,19928734,0.671875,016670,1.0,0.15,1.0,0,1,2,3
