,shcode,index
0,000080,20190424
1,000140,20190708 20190729
2,000300,20190510
3,000390,20190725
4,000400,20190903
5,000430,20190212 20190226
6,000885,20190423 20190927
7,000890,20190515
8,000910,20190114 20190115 20190513 20190522 20190523 20190808 20190809
9,000970,20190618 20190619 20190621
10,001045,20190422
11,001140,20190313
12,001340,20190604 20190917
13,001360,20190424 20190828
14,001380,20190213 20190612 20190614
15,001440,20190927
16,001550,20190508 20190517
17,001740,20190416
18,001745,20190418
19,001770,20190830
20,001790,20190919 20190920
21,001820,20190716
22,002020,20190705 20190822
23,002070,20190725 20190726
24,002100,20190508
25,002140,20190611 20190612 20190621 20190820 20190905
26,002150,20190116
27,002210,20190425 20190429 20190430 20190926
28,002320,20190408
29,002360,20190116 20190415 20190916
30,002450,20190807
31,002630,20190424
32,002700,20190306 20190520
33,002720,20190327 20190523 20190917
34,002760,20190911 20190920
35,002780,20190503 20190611
36,002995,20190418
37,003010,20190117
38,003060,20190404
39,003160,20190429
40,003350,20190812 20190927
41,003495,20190409 20190410
42,003520,20190131
43,003560,20190211
44,003850,20190322
45,004060,20190612 20190613
46,004100,20190111
47,004140,20190211
48,004270,20190507 20190514
49,004310,20190411 20190716 20190821
50,004380,20190325
51,004410,20190214
52,004540,20190807
53,004720,20190104
54,004770,20190201 20190522 20190909
55,004830,20190628 20190704
56,004870,20190821 20190822
57,004980,20190130
58,005110,20190220 20190916 20190918
59,005320,20190625 20190626
60,005360,20190704 20190705 20190708
61,005390,20190705 20190708
62,005420,20190129
63,005690,20190124 20190717 20190801
64,005740,20190208 20190625 20190731
65,006090,20190814 20190816 20190819 20190926
66,006490,20190110
67,006880,20190627 20190702
68,006890,20190306 20190723
69,006980,20190319 20190423 20190916 20190917
70,007110,20190619 20190910
71,007210,20190910
72,007460,20190308
73,007540,20190509 20190805 20190806
74,008040,20190221
75,008350,20190516
76,008420,20190107 20190212 20190614
77,008700,20190425 20190503
78,008730,20190725 20190726
79,008775,20190829
80,008970,20190624
81,009160,20190530
82,009270,20190517
83,009290,20190429 20190624
84,009320,20190320 20190617 20190924
85,009410,20190123 20190527
86,009460,20190516
87,009470,20190717
88,009680,20190118 20190313
89,009835,20190417
90,010100,20190906 20190909 20190919
91,010400,20190405
92,010420,20190626 20190627
93,010600,20190625 20190626
94,010660,20190524 20190627
95,010770,20190618
96,010820,20190315 20190923
97,011000,20190128
98,011090,20190109
99,011150,20190416 20190422 20190807 20190814
100,011200,20190422
101,011280,20190507 20190508 20190813
102,011330,20190521
103,011390,20190910 20190911
104,011420,20190723
105,011700,20190712
106,011785,20190417
107,012160,20190212
108,012170,20190619
109,012450,20190813
110,012610,20190726
111,012690,20190304 20190801 20190805 20190806
112,012800,20190426 20190509
113,013000,20190130 20190911
114,013700,20190131 20190312
115,014130,20190416 20190419
116,014280,20190314 20190621
117,014530,20190916
118,014580,20190531 20190604 20190607 20190809 20190918 20190920
119,014790,20190911
120,014820,20190418
121,014910,20190114
122,014990,20190517 20190520
123,015860,20190121
124,016740,20190321
125,016880,20190307
126,017040,20190910
127,017180,20190503
128,017550,20190426 20190911
129,017900,20190318
130,017940,20190313
131,018670,20190313
132,020120,20190702
133,020560,20190412 20190416
134,021050,20190426 20190510
135,023350,20190116
136,023800,20190121
137,025560,20190619 20190620 20190724
138,025820,20190509
139,026890,20190827
140,027740,20190418 20190918 20190920
141,030720,20190424 20190806 20190814
142,030790,20190405
143,031820,20190617
144,032560,20190116
145,033250,20190410 20190603 20190919 20190920 20190923
146,033920,20190807
147,034300,20190529
148,036580,20190917 20190925
149,037560,20190208 20190826
150,044380,20190520
151,047040,20190916
152,058860,20190116
153,068290,20190110 20190227 20190522
154,069640,20190807
155,069730,20190212 20190213 20190522 20190607
156,070960,20190131 20190201
157,071950,20190213 20190403 20190625
158,073240,20190415
159,074610,20190521 20190522
160,077500,20190925
161,078520,20190220
162,081000,20190718
163,084680,20190516 20190807
164,084870,20190806
