,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,shcode2,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2
41,001360,20190828,4.0,소   형  주,172.0,제약업체,삼성제약,201908,20191016,001360,0,20180901,20190828,20180831,20190731,20190201,20190823,20190818
42,001360,20191016,4.0,소   형  주,172.0,제약업체,삼성제약,201910,20191031,001360,1,20181101,20191016,20181031,20190930,20190322,20191011,20191006
43,001360,20191031,4.0,소   형  주,172.0,제약업체,삼성제약,201910,20191101,001360,1,20181101,20191031,20181031,20190930,20190405,20191025,20191021
44,001360,20191101,4.0,소   형  주,172.0,제약업체,삼성제약,201911,20191205,001360,0,20181101,20191101,20181130,20191031,20190405,20191025,20191022
45,001360,20191205,4.0,소   형  주,172.0,제약업체,삼성제약,201912,20181206,001380,0,20190101,20191205,20181231,20191130,20190510,20191129,20191125
46,001380,20181206,15.0,운 수 장 비,27.0,자동차부품,SG충방,201812,20190213,001380,0,20180101,20181206,20171231,20181130,20180511,20181130,20181126
47,001380,20190213,15.0,운 수 장 비,27.0,자동차부품,SG충방,201902,20190612,001380,0,20180301,20190213,20180228,20190131,20180720,20190208,20190203
48,001380,20190612,15.0,운 수 장 비,27.0,자동차부품,SG충방,201906,20190614,001380,1,20180701,20190612,20180630,20190531,20181116,20190607,20190602
49,001380,20190614,15.0,운 수 장 비,27.0,자동차부품,SG충방,201906,20190927,001440,0,20180701,20190614,20180630,20190531,20181116,20190607,20190604
50,001440,20190927,3.0,중   형  주,178.0,전선,대한전선,201909,20190111,001550,0,20181001,20190927,20180930,20190831,20190301,20190920,20190917
51,001550,20190111,8.0,화       학,206.0,농업,조비,201901,20190114,001550,1,20180201,20190111,20180131,20181231,20180615,20190104,20190101
52,001550,20190114,8.0,화       학,206.0,농업,조비,201901,20190508,001550,0,20180201,20190114,20180131,20181231,20180622,20190111,20190104
53,001550,20190508,8.0,화       학,206.0,농업,조비,201905,20190517,001550,1,20180601,20190508,20180531,20190430,20181012,20190503,20190428
54,001550,20190517,8.0,화       학,206.0,농업,조비,201905,20190103,001740,0,20180601,20190517,20180531,20190430,20181019,20190510,20190507
55,001740,20190103,3.0,중   형  주,325.0,종합상사,SK네트웍스,201901,20190416,001740,0,20180201,20190103,20180131,20181231,20180608,20181228,20181224
56,001740,20190416,3.0,중   형  주,325.0,종합상사,SK네트웍스,201904,20190418,001745,0,20180501,20190416,20180430,20190331,20180921,20190412,20190406
57,001745,20190418,16.0,유   통  업,,,SK네트웍스우,201904,20190830,001770,0,20180501,20190418,20180430,20190331,20180921,20190412,20190408
58,001770,20190830,11.0,철 강 금 속,72.0,철강 중소형,신화실업,201908,20190919,001790,0,20180901,20190830,20180831,20190731,20190201,20190823,20190820
59,001790,20190919,5.0,음 식 료 업,113.0,음식료업종,대한제당,201909,20190920,001790,1,20181001,20190919,20180930,20190831,20190222,20190913,20190909
60,001790,20190920,5.0,음 식 료 업,113.0,음식료업종,대한제당,201909,20190716,001820,0,20181001,20190920,20180930,20190831,20190222,20190913,20190910
61,001820,20190716,3.0,중   형  주,405.0,MLCC(적층세라믹콘덴서),삼화콘덴서,201907,20190905,001820,0,20180801,20190716,20180731,20190630,20181221,20190712,20190706
62,001820,20190905,3.0,중   형  주,405.0,MLCC(적층세라믹콘덴서),삼화콘덴서,201909,20190705,002020,0,20181001,20190905,20180930,20190831,20190208,20190830,20190826
63,002020,20190705,3.0,중   형  주,111.0,지주사,코오롱,201907,20190822,002020,0,20180801,20190705,20180731,20190630,20181207,20190628,20190625
64,002020,20190822,3.0,중   형  주,111.0,지주사,코오롱,201908,20191014,002020,0,20180901,20190822,20180831,20190731,20190125,20190816,20190812
65,002020,20191014,3.0,중   형  주,111.0,지주사,코오롱,201910,20190725,002070,0,20181101,20191014,20181031,20190930,20190322,20191011,20191004
66,002070,20190725,6.0,섬 유 의 복,421.0,日 불매운동 관련주,남영비비안,201907,20190726,002070,1,20180801,20190725,20180731,20190630,20181228,20190719,20190715
67,002070,20190726,6.0,섬 유 의 복,421.0,日 불매운동 관련주,남영비비안,201907,20191018,002070,0,20180801,20190726,20180731,20190630,20181228,20190719,20190716
68,002070,20191018,6.0,섬 유 의 복,421.0,日 불매운동 관련주,남영비비안,201910,20191021,002070,1,20181101,20191018,20181031,20190930,20190322,20191011,20191008
69,002070,20191021,6.0,섬 유 의 복,421.0,日 불매운동 관련주,남영비비안,201910,20191022,002070,1,20181101,20191021,20181031,20190930,20190329,20191018,20191011
70,002070,20191022,6.0,섬 유 의 복,421.0,日 불매운동 관련주,남영비비안,201910,20181204,002100,0,20181101,20191022,20181031,20190930,20190329,20191018,20191012
71,002100,20181204,8.0,화       학,206.0,농업,경농,201812,20190114,002100,0,20180101,20181204,20171231,20181130,20180511,20181130,20181124
72,002100,20190114,8.0,화       학,206.0,농업,경농,201901,20190411,002100,0,20180201,20190114,20180131,20181231,20180622,20190111,20190104
73,002100,20190411,8.0,화       학,206.0,농업,경농,201904,20190508,002100,1,20180501,20190411,20180430,20190331,20180914,20190405,20190401
74,002100,20190508,8.0,화       학,206.0,농업,경농,201905,20190517,002100,1,20180601,20190508,20180531,20190430,20181012,20190503,20190428
75,002100,20190517,8.0,화       학,206.0,농업,경농,201905,20190619,002100,0,20180601,20190517,20180531,20190430,20181019,20190510,20190507
76,002100,20190619,8.0,화       학,206.0,농업,경농,201906,20190916,002100,0,20180701,20190619,20180630,20190531,20181123,20190614,20190609
77,002100,20190916,8.0,화       학,206.0,농업,경농,201909,20190611,002140,0,20181001,20190916,20180930,20190831,20190222,20190913,20190906
78,002140,20190611,5.0,음 식 료 업,105.0,사료,고려산업,201906,20190612,002140,1,20180701,20190611,20180630,20190531,20181116,20190607,20190601
79,002140,20190612,5.0,음 식 료 업,105.0,사료,고려산업,201906,20190621,002140,1,20180701,20190612,20180630,20190531,20181116,20190607,20190602
80,002140,20190621,5.0,음 식 료 업,105.0,사료,고려산업,201906,20190702,002140,1,20180701,20190621,20180630,20190531,20181123,20190614,20190611
81,002140,20190702,5.0,음 식 료 업,105.0,사료,고려산업,201907,20190819,002140,0,20180801,20190702,20180731,20190630,20181207,20190628,20190622
82,002140,20190819,5.0,음 식 료 업,105.0,사료,고려산업,201908,20190820,002140,1,20180901,20190819,20180831,20190731,20190125,20190816,20190809
83,002140,20190820,5.0,음 식 료 업,105.0,사료,고려산업,201908,20190905,002140,1,20180901,20190820,20180831,20190731,20190125,20190816,20190810
84,002140,20190905,5.0,음 식 료 업,105.0,사료,고려산업,201909,20191111,002140,0,20181001,20190905,20180930,20190831,20190208,20190830,20190826
85,002140,20191111,5.0,음 식 료 업,105.0,사료,고려산업,201911,20181213,002150,0,20181201,20191111,20181130,20191031,20190419,20191108,20191101
86,002150,20181213,3.0,중   형  주,250.0,철도,도화엔지니어링,201812,20190116,002150,0,20180101,20181213,20171231,20181130,20180518,20181207,20181203
87,002150,20190116,3.0,중   형  주,250.0,철도,도화엔지니어링,201901,20190128,002150,1,20180201,20190116,20180131,20181231,20180622,20190111,20190106
