,index,shcode,shname,target_m,date,close_ratio,min_target,max_target,close,spot_range,check,inrange,squeezed,volume_default,volume_target,volume,deal_f,burn_ratio,rotate_ratio,for_net_buy,com_net_buy,per_net_buy
1,0,000140,하이트진로홀딩스,201907,20190730,0.004166666666666652,9310,12050,12050,1.0,False,True,True,False,6291621,7616938,87.81,5.56,32.82,1781,-97331,158599
2,0,000140,하이트진로홀딩스,201907,20190731,-0.11618257261410792,9310,12050,10650,0.48905109489051096,False,True,False,False,6291621,2326322,61.08,5.41,10.02,16188,27487,-42516
3,0,000140,하이트진로홀딩스,201907,20190801,-0.06572769953051638,9310,12050,9950,0.23357664233576642,False,True,False,False,6291621,1521007,69.21,5.36,6.55,-8585,1012,5162
4,0,000140,하이트진로홀딩스,201907,20190802,0.045226130653266416,9310,12050,10400,0.3978102189781022,False,True,True,False,6291621,2206395,105.72,5.11,9.51,-28685,530,25074
5,0,000140,하이트진로홀딩스,201907,20190805,0.17307692307692313,9310,12050,12200,1.0547445255474452,False,False,False,False,6291621,5418072,101.44,5.13,23.35,4861,-26857,23964
6,0,000140,하이트진로홀딩스,201907,20190806,0.012295081967213184,9310,12050,12350,1.1094890510948905,False,False,False,False,6291621,3341082,90.43,5.05,14.4,-18512,-1256,23520
7,0,000140,하이트진로홀딩스,201907,20190807,-0.06477732793522262,9310,12050,11550,0.8175182481751825,False,True,False,False,6291621,1821572,60.34,4.84,7.85,-50773,-1975,29520
8,0,000140,하이트진로홀딩스,201907,20190808,-0.051948051948051965,9310,12050,10950,0.5985401459854015,False,True,False,False,6291621,1110817,67.13,5.07,4.79,49147,27514,-54704
9,0,000140,하이트진로홀딩스,201907,20190809,-0.0091324200913242,9310,12050,10850,0.5620437956204379,True,True,True,True,6291621,528349,63.62,4.95,2.28,-28048,-10,28058
10,0,000140,하이트진로홀딩스,201907,20190812,0.009216589861751112,9310,12050,10950,0.5985401459854015,True,True,True,True,6291621,446997,117.04,4.95,1.93,-5400,528,4602
11,0,000140,하이트진로홀딩스,201907,20190813,-0.0365296803652968,9310,12050,10550,0.45255474452554745,False,True,False,True,6291621,330275,40.87,5.11,1.42,-10871,1382,9403
12,0,000140,하이트진로홀딩스,201907,20190814,0.0,9310,12050,10550,0.45255474452554745,True,True,True,True,6291621,518204,94.79,5.24,2.23,-4169,-937,5092
13,0,000140,하이트진로홀딩스,201907,20190816,-0.042654028436018954,9310,12050,10100,0.28832116788321166,False,True,False,True,6291621,479539,62.47,5.1,2.07,-42146,338,41278
14,0,000140,하이트진로홀딩스,201907,20190819,0.004950495049504955,9310,12050,10150,0.30656934306569344,True,True,True,True,6291621,182287,51.94,5.21,0.79,25608,960,-26588
15,0,000140,하이트진로홀딩스,201907,20190820,-0.0049261083743842304,9310,12050,10100,0.28832116788321166,True,True,True,True,6291621,155769,58.74,5.22,0.67,-2339,1057,1282
16,0,000140,하이트진로홀딩스,201907,20190821,0.01980198019801982,9310,12050,10300,0.3613138686131387,True,True,True,True,6291621,286731,89.15,5.18,1.24,-10194,76766,-66572
17,0,000140,하이트진로홀딩스,201907,20190822,0.0,9310,12050,10300,0.3613138686131387,True,True,True,True,6291621,156236,47.93,5.17,0.67,-2981,-153,2973
18,0,000140,하이트진로홀딩스,201907,20190823,0.029126213592232997,9310,12050,10600,0.4708029197080292,False,True,True,False,6291621,3286611,93.65,4.68,14.16,-146720,3307,142575
19,0,000140,하이트진로홀딩스,201907,20190826,-0.028301886792452824,9310,12050,10300,0.3613138686131387,True,True,True,True,6291621,513641,63.67,4.75,2.21,5443,-58,-8706
20,0,000140,하이트진로홀딩스,201907,20190827,0.01941747572815533,9310,12050,10500,0.4343065693430657,True,True,True,True,6291621,267858,78.17,4.95,1.15,15845,-78,-15971
21,0,000140,하이트진로홀딩스,201907,20190828,-0.023809523809523836,9310,12050,10250,0.34306569343065696,True,True,True,True,6291621,261394,54.22,4.89,1.13,-22720,49400,-27199
22,0,000140,하이트진로홀딩스,201907,20190829,-0.004878048780487809,9310,12050,10200,0.3248175182481752,True,True,True,True,6291621,348947,67.08,4.88,1.5,-12132,38991,-28557
23,0,000140,하이트진로홀딩스,201907,20190830,0.014705882352941124,9310,12050,10350,0.3795620437956204,True,True,True,True,6291621,150116,90.2,4.99,0.65,23609,39124,-64061
24,0,000140,하이트진로홀딩스,201907,20190902,0.04347826086956519,9310,12050,10800,0.5437956204379562,False,True,False,True,6291621,287185,182.82,5.0,1.24,512,58903,-55441
25,0,000140,하이트진로홀딩스,201907,20190903,0.02777777777777768,9310,12050,11100,0.6532846715328468,True,True,True,True,6291621,273276,88.46,5.0,1.18,639,41303,-40963
