,index,shcode,shname,target_day,date,open,high,low,close,volume,deal_f,burn_ratio,rotate_ratio,for_net_buy,com_net_buy,per_net_buy,ma5_score,ma20_score,ma5_20_score
28,3,001340,백광산업,20190917,20190329,2795,2885,2575,2670,4449,56.41,3.21,9.9,-115933,-164944,320605,0.15,0.15,0.15
29,3,001340,백광산업,20190917,20190430,2700,3320,2695,3030,10216,80.09,3.75,22.74,243816,175193,-494288,0.15,0.15,0.15
30,3,001340,백광산업,20190917,20190531,3035,3095,2775,2835,5147,77.41,3.22,11.46,-224462,13581,100048,0.15,0.15,0.15
31,3,001340,백광산업,20190917,20190628,2820,3340,2785,2950,34482,84.71,3.38,76.77,48535,-151784,284991,0.15,0.15,0.15
32,3,001340,백광산업,20190917,20190731,2990,3040,2560,2690,6342,66.37,2.89,14.12,-210435,-61100,254127,0.15,0.15,0.15
33,3,001340,백광산업,20190917,20190830,2655,2800,2310,2500,4340,78.88,3.09,9.66,85713,-1849,-82768,0.15,0.15,0.15
34,3,001340,백광산업,20190917,20190930,2500,3300,2495,2600,34145,79.72,2.75,76.02,-176594,19480,279431,0.15,0.15,0.15
35,3,001340,백광산업,20190917,20191018,2600,2645,2500,2585,3061,61.91,3.03,6.82,117953,-16628,-90519,0.15,0.15,0.15
17,4,001550,조비,20190508,20171130,11750,12600,11400,12100,316,90.91,0.36,6.85,2819,-4103,1288,0.35,1.0,0.0
18,4,001550,조비,20190508,20171228,12100,12250,11200,11500,250,56.49,0.22,4.95,3752,-1960,-1934,0.35,1.0,0.0
19,4,001550,조비,20190508,20180131,11950,13250,11700,12150,669,76.76,0.54,13.26,5069,-5059,-1019,0.35,1.0,0.0
20,4,001550,조비,20190508,20180228,12200,12500,11150,11900,288,59.02,0.18,5.71,-7077,-66,7658,0.35,1.0,0.0
21,4,001550,조비,20190508,20180330,11900,15250,11600,14550,2396,91.66,0.65,47.5,16396,-79694,61270,0.35,1.0,0.0
22,4,001550,조비,20190508,20180430,14500,19200,13500,17100,3184,80.76,1.06,61.32,17128,-45554,10535,0.35,1.0,0.0
23,4,001550,조비,20190508,20180531,18500,24650,14300,20600,8215,78.73,0.91,158.22,-8294,-34264,61178,0.35,1.0,0.0
24,4,001550,조비,20190508,20180629,21450,41050,18200,24600,20967,88.43,0.2,403.82,-39354,-3670,36837,0.35,1.0,0.0
25,4,001550,조비,20190508,20180731,24800,29100,16850,25200,13119,86.53,0.17,252.66,-3436,-2140,13137,0.35,1.0,0.0
26,4,001550,조비,20190508,20180831,25050,36800,23650,29400,16719,85.96,0.53,321.99,21002,1332,-24160,0.35,1.0,0.0
27,4,001550,조비,20190508,20180928,30850,38550,28400,28700,11514,87.34,0.35,221.76,-13386,1745,272858,0.35,1.0,0.0
28,4,001550,조비,20190508,20181031,29000,31500,17700,20950,7495,88.36,0.69,144.35,15128,52,-12721,0.35,1.0,0.0
29,4,001550,조비,20190508,20181130,22000,26450,21250,23900,3350,80.35,0.49,64.51,-11911,380,11476,0.35,1.0,0.0
30,4,001550,조비,20190508,20181228,24550,27150,21350,23200,2249,80.91,0.4,43.31,-4668,3393,1518,0.35,1.0,0.0
31,4,001550,조비,20190508,20190131,24000,34850,21800,31400,10158,93.87,0.4,195.64,3275,-963,-2677,0.35,1.0,0.0
32,4,001550,조비,20190508,20190228,31900,33100,23000,23750,2029,67.44,0.53,39.08,1882,591,-6499,0.35,1.0,0.0
33,4,001550,조비,20190508,20190329,22000,23450,19450,22350,1613,85.27,2.76,31.07,120502,8428,-128783,0.35,1.0,0.0
34,4,001550,조비,20190508,20190430,23200,24300,19850,20000,1117,70.0,2.14,21.51,-31383,4341,26340,0.35,1.0,0.0
35,4,001550,조비,20190508,20190531,20350,27800,19700,25750,10722,83.18,0.34,206.49,-105867,2312,109840,0.35,1.0,0.0
36,4,001550,조비,20190508,20190628,25300,28200,22450,23400,3677,72.33,0.35,70.81,-5420,5267,-1063,0.35,1.0,0.0
16,5,001550,조비,20190517,20171130,11750,12600,11400,12100,316,90.91,0.36,6.85,2819,-4103,1288,0.35,1.0,0.0
17,5,001550,조비,20190517,20171228,12100,12250,11200,11500,250,56.49,0.22,4.95,3752,-1960,-1934,0.35,1.0,0.0
18,5,001550,조비,20190517,20180131,11950,13250,11700,12150,669,76.76,0.54,13.26,5069,-5059,-1019,0.35,1.0,0.0
19,5,001550,조비,20190517,20180228,12200,12500,11150,11900,288,59.02,0.18,5.71,-7077,-66,7658,0.35,1.0,0.0
