,shcode,index
0,000140,20190708 20190729
1,000300,20190510
2,000400,20190903
3,000885,20190927
4,000890,20190515
5,000910,20190114 20190513 20190523 20190809
6,000970,20190618
7,001140,20190313
8,001340,20190917
9,001360,20190828
10,001550,20190508 20190517
11,001745,20190418
12,001770,20190830
13,001790,20190919
14,001820,20190716
15,002020,20190705 20190822
16,002070,20190725 20190726
17,002140,20190611 20190621 20190905
18,002150,20190116
19,002210,20190425 20190429 20190430
20,002320,20190408
21,002360,20190916
22,002450,20190807
23,002630,20190424
24,002700,20190520
25,002720,20190327
26,002780,20190503 20190611
27,002995,20190418
28,003010,20190117
29,003060,20190404
30,003160,20190429
31,003495,20190409 20190410
32,003560,20190211
33,003850,20190322
34,004060,20190612
35,004100,20190111
36,004140,20190211
37,004270,20190514
38,004310,20190821
39,004380,20190325
40,004410,20190214
41,004720,20190104
42,004770,20190201 20190909
43,004830,20190704
44,004870,20190821 20190822
45,004980,20190130
46,005110,20190220 20190916 20190918
47,005320,20190625 20190626
48,005360,20190704 20190708
49,005390,20190708
50,005420,20190129
51,005690,20190124 20190717
52,005740,20190208 20190625 20190731
53,006090,20190814 20190816 20190819 20190926
54,006880,20190627 20190702
55,006890,20190723
56,006980,20190319 20190423 20190917
57,007110,20190619 20190910
58,007210,20190910
59,007460,20190308
60,007540,20190509 20190805
61,008040,20190221
62,008350,20190516
63,008420,20190107
64,008700,20190503
65,008730,20190725 20190726
66,008775,20190829
67,008970,20190624
68,009160,20190530
69,009270,20190517
70,009290,20190624
71,009320,20190617 20190924
72,009410,20190123 20190527
73,009460,20190516
74,009470,20190717
75,009680,20190118 20190313
76,009835,20190417
77,010100,20190906 20190909 20190919
78,010400,20190405
79,010420,20190626 20190627
80,010600,20190625 20190626
81,010660,20190524 20190627
82,010770,20190618
83,010820,20190923
84,011000,20190128
85,011090,20190109
86,011150,20190416 20190422 20190814
87,011200,20190422
88,011280,20190507 20190508 20190813
89,011390,20190910 20190911
90,011420,20190723
91,012160,20190212
92,012170,20190619
93,012450,20190813
94,012610,20190726
95,012690,20190304 20190801 20190805 20190806
96,012800,20190426 20190509
97,013700,20190131 20190312
98,014130,20190416 20190419
99,014530,20190916
100,014580,20190531 20190604 20190607 20190809 20190918 20190920
101,014790,20190911
102,014820,20190418
103,014910,20190114
104,014990,20190517
105,015860,20190121
106,016740,20190321
107,016880,20190307
108,017550,20190426
109,017900,20190318
110,017940,20190313
111,020120,20190702
112,020560,20190412 20190416
113,021050,20190426 20190510
114,023350,20190116
115,023800,20190121
116,025560,20190619 20190620 20190724
117,025820,20190509
118,026890,20190827
119,027740,20190418 20190918 20190920
120,030720,20190806 20190814
121,030790,20190405
122,031820,20190617
123,032560,20190116
124,033250,20190410 20190603 20190919 20190920
125,033920,20190807
126,034300,20190529
127,036580,20190917 20190925
128,037560,20190208 20190826
129,044380,20190520
130,047040,20190916
131,068290,20190110 20190227
132,069730,20190212 20190522
133,070960,20190131 20190201
134,071950,20190213 20190403
135,074610,20190521 20190522
136,078520,20190220
137,081000,20190718
138,084680,20190516 20190807
139,084870,20190806
140,090370,20190409
141,091810,20190221 20190821
142,092780,20190118 20190121
143,093230,20190610 20190611
144,093370,20190703
145,096760,20190716
146,097230,20190423
147,100220,20190514
148,101530,20190124
149,102280,20190730
150,105840,20190207 20190822
151,119650,20190308
152,123690,20190808 20190812
153,129260,20190517
154,133820,20190104 20190426
155,138490,20190719
156,144620,20190118
157,155660,20190218 20190522 20190607
158,180640,20190408
159,18064K,20190409
160,181710,20190201
161,192080,20190424
162,192650,20190429
163,234080,20190327
164,26490K,20190806
165,267850,20190411 20190412 20190530
166,271980,20190104 20190614
167,272450,20190415
168,284740,20190516
169,298690,20190411 20190412 20190704
170,000440,20190423 20190917
171,001840,20190108
172,002680,20190221
173,003310,20190220
174,005290,20190701
175,005860,20190319 20190423 20190917 20190925
176,006910,20190917
177,007390,20190117 20190528
178,007720,20190116
179,008470,20190328
180,009520,20190813
181,009620,20190628
182,010170,20190502 20190614
183,010240,20190213
184,011320,20190617
185,011560,20190327
186,012340,20190118
187,012700,20190708 20190729
188,013310,20190718
189,014100,20190806
190,014190,20190903
191,014200,20190522
192,014470,20190222 20190225 20190530 20190603 20190618
193,014970,20190624 20190626
194,016600,20190415
195,016790,20190423 20190917
196,018620,20190417 20190418 20190531 20190918 20190926
197,018700,20190528
198,019540,20190628 20190709 20190710
199,019550,20190213
200,019990,20190227
201,023770,20190703
202,023900,20190617 20190625
203,024060,20190116 20190117 20190326 20190917
204,024740,20190315 20190920
205,024810,20190620
206,024840,20190109
207,024910,20190313
208,024950,20190715
209,025320,20190822
210,025870,20190424 20190919
211,025880,20190927
212,026150,20190108
213,027050,20190812
214,027360,20190226
215,027580,20190508 20190513
216,027710,20190917 20190925
217,030350,20190705
