,shcode,index
218,030960,20190730
219,031310,20190514
220,031330,20190610
221,031980,20190213
222,032280,20190422
223,032750,20190517 20190902
224,032800,20190211 20190213 20190405
225,032820,20190207
226,032940,20190225
227,033130,20190516
228,033170,20190108
229,033310,20190123
230,033320,20190625 20190813
231,033340,20190517 20190701
232,033430,20190124
233,033560,20190220
234,035620,20190527 20190528
235,035810,20190917
236,036090,20190513
237,036120,20190402 20190513 20190514 20190625
238,036200,20190117 20190314
239,036480,20190129 20190531 20190917
240,036540,20190422 20190423
241,036640,20190916
242,037030,20190326 20190419 20190819 20190827
243,037070,20190306 20190527 20190528
244,037230,20190115 20190220 20190304 20190329
245,037330,20190709
246,037370,20190121
247,037460,20190515
248,037950,20190426
249,038060,20190828
250,038160,20190625 20190626
251,038500,20190116
252,038530,20190219
253,038620,20190108
254,038680,20190419 20190605
255,038880,20190507
256,039230,20190128
257,039610,20190923
258,039670,20190618
259,039830,20190109
260,040610,20190612
261,040910,20190718
262,041140,20190104 20190424
263,041190,20190625
264,041910,20190926
265,041920,20190724
266,041930,20190225 20190627
267,041960,20190604
268,042040,20190218 20190726
269,042110,20190214
270,042370,20190116
271,042500,20190422
272,042510,20190221 20190417
273,042600,20190225
274,043100,20190121
275,043360,20190718
276,044340,20190306
277,044480,20190408
278,044780,20190626
279,044960,20190129 20190418 20190531 20190603 20190918 20190920
280,045390,20190201 20190910
281,045520,20190311
282,045660,20190517 20190520
283,046310,20190218
284,046390,20190416
285,046940,20190108
286,047560,20190614
287,047770,20190806
288,047820,20190918
289,047920,20190404 20190405
290,048410,20190320 20190321 20190626
291,048770,20190620
292,048830,20190110
293,049080,20190409
294,049180,20190320 20190821
295,049480,20190611 20190613 20190904
296,049550,20190621 20190709
297,049950,20190423
298,050090,20190516
299,050120,20190130 20190208 20190510
300,051160,20190614
301,051370,20190417
302,051390,20190225
303,052420,20190710 20190829 20190830
304,052460,20190527 20190611
305,052600,20190326
306,052670,20190129 20190131 20190418 20190531 20190917
307,052900,20190704
308,053030,20190305
309,053270,20190121
310,053590,20190110 20190514
311,053620,20190122 20190307
312,053700,20190118
313,054210,20190516
314,054300,20190219 20190916
315,054620,20190621
316,054630,20190425 20190820
317,054670,20190604 20190917
318,054780,20190415
319,054920,20190221
320,054930,20190117
321,054940,20190430 20190502 20190508 20190618
322,056700,20190515 20190516
323,057030,20190520 20190905
324,057500,20190214 20190704
325,057880,20190403
326,058400,20190610 20190611 20190819 20190820
327,058450,20190218
328,058530,20190313
329,058630,20190702
330,058820,20190719
331,059210,20190521
332,060240,20190710 20190712
333,060260,20190225
334,060310,20190708
335,060370,20190528
336,060480,20190426
337,060560,20190130
338,060590,20190918
339,060720,20190607
340,063440,20190416 20190417
341,064240,20190319
342,064260,20190627 20190812
343,064510,20190911
344,064820,20190415 20190813
345,065130,20190515
346,065170,20190305 20190417
347,065450,20190228 20190307
348,065500,20190509 20190510
349,065510,20190328
350,065530,20190409 20190903
351,065950,20190304
352,066130,20190124 20190306
353,066310,20190418
354,066360,20190423 20190822 20190823
355,066430,20190718
356,066700,20190304
357,067170,20190826
358,067290,20190716
359,067630,20190701
360,067990,20190412
361,068330,20190311
362,068790,20190502
363,069140,20190306
364,071460,20190306 20190520
365,071670,20190503
366,072020,20190917
367,072870,20190902
368,072950,20190409
369,073110,20190523
370,073540,20190902 20190903
371,073560,20190318 20190830
372,074430,20190405
373,075130,20190619
374,075970,20190208
375,077360,20190515
376,078130,20190424
377,078140,20190319 20190322 20190326
378,078590,20190710
379,079810,20190710
380,079940,20190516
381,080000,20190717
382,080520,20190605
383,081150,20190522
384,082800,20190405 20190408
385,083640,20190523 20190527
386,083650,20190227
387,085670,20190726
388,085810,20190620
389,086040,20190313
390,086060,20190531 20190604 20190920
391,086250,20190515 20190617
392,086670,20190702 20190703
393,086980,20190417
394,087260,20190328 20190924
395,087730,20190718
396,088910,20190917
397,089970,20190405
398,090150,20190308
399,090410,20190214
400,091340,20190823 20190903
401,092870,20190911
402,093380,20190104 20190213 20190520 20190905
403,093520,20190419
404,094190,20190305
405,094360,20190403
406,094860,20190222
407,094940,20190827 20190828 20190830
408,095340,20190703
409,095610,20190213
410,096040,20190620
411,096350,20190621 20190625
412,096610,20190312 20190425
413,096630,20190227
414,099220,20190719
415,099410,20190214
416,099440,20190401
417,100030,20190412
418,100590,20190409 20190904
419,100660,20190610 20190709
420,101160,20190517
421,102120,20190131
422,104040,20190307
423,104480,20190424
424,105740,20190314
425,108230,20190117 20190118
426,108490,20190325
427,109960,20190404
428,110790,20190828
429,110990,20190220
430,111710,20190411 20190822
431,111870,20190411
432,114120,20190416 20190814
433,114450,20190703 20190711
434,114810,20190821
435,115440,20190614 20190816
436,115500,20190221
437,117670,20190710
438,117730,20190129
439,118990,20190924
440,121800,20190402 20190625 20190626
441,122350,20190121
442,122640,20190125
443,123260,20190319
444,123330,20190215
445,123410,20190411 20190924
446,123570,20190313
447,123840,20190122
448,125210,20190510
449,126600,20190708
450,126870,20190617
451,130500,20190218 20190509
452,131090,20190221
453,131180,20190701
454,131290,20190321
455,131370,20190517
456,131760,20190322
457,133750,20190715
458,136480,20190917 20190918
459,136510,20190502 20190724
460,137950,20190829 20190830
461,138360,20190121
462,140520,20190212 20190403
463,140670,20190715 20190819
464,142760,20190305
465,147760,20190703
466,150840,20190315 20190318
467,153710,20190110
468,154030,20190916
469,154040,20190430 20190508
470,159580,20190520
471,160600,20190722
472,166480,20190403
473,168330,20190410
474,170030,20190322 20190405 20190923
475,170920,20190703
476,171010,20190703
477,171090,20190717
478,173130,20190610
479,176440,20190227
480,177830,20190403
481,178320,20190403
482,178920,20190712
483,179290,20190215 20190725
484,179900,20190220 20190711
485,184230,20190221
486,187220,20190320
487,187270,20190313
488,187790,20190322
489,189860,20190109
490,192250,20190221 20190417
491,192440,20190313
492,195990,20190711
493,198440,20190130 20190607 20190812
494,201490,20190419
495,203650,20190221 20190618
496,203690,20190124 20190430
497,204020,20190716
498,205100,20190410
499,206560,20190111 20190114 20190416
500,206650,20190508
501,207760,20190628 20190704
502,208350,20190626 20190910
503,208640,20190125 20190321
504,208860,20190327
505,212560,20190923
506,214150,20190402 20190515 20190730
507,214270,20190219 20190607
508,214680,20190128 20190522
509,215090,20190308
510,215100,20190325 20190326 20190524
511,215380,20190122
512,215480,20190110 20190227 20190515
513,215790,20190125 20190626
514,216050,20190314
515,217500,20190703
516,217600,20190717
517,217820,20190321
518,218150,20190419 20190826 20190927
519,219130,20190708
520,219420,20190624
521,219750,20190312
522,220180,20190415
523,220260,20190424 20190703 20190708
524,222080,20190628
525,222420,20190529
526,222810,20190213
527,224060,20190226
528,225430,20190122 20190502 20190918
529,225530,20190130
530,225570,20190513
531,226340,20190114
532,226360,20190920
533,226440,20190424
534,227100,20190308
535,227610,20190621
536,228340,20190701
537,230240,20190405
538,232140,20190111
539,234100,20190118
540,234300,20190312
541,238200,20190315
542,238490,20190215
543,239340,20190311
544,239610,20190222
545,241790,20190703
546,241820,20190315
547,242040,20190418 20190903
548,245620,20190507
549,246710,20190222
550,250000,20190731
551,250060,20190401 20190402 20190613 20190820
552,252500,20190115 20190529 20190812
553,253590,20190425
554,253840,20190927
555,256630,20190412 20190614 20190718
556,256840,20190821
557,257370,20190726
558,257730,20190618
559,258610,20190702
560,260660,20190927
561,263540,20190513
562,263690,20190305 20190311 20190830
563,263700,20190318
564,263800,20190424 20190613 20190906
565,264660,20190820
566,269620,20190327 20190620 20190723
567,275630,20190218 20190221
568,277410,20190115
569,285490,20190521 20190529 20190603
570,290120,20190510
571,290270,20190226 20190614
572,290380,20190114 20190916
573,297570,20190617
574,299900,20190107
575,303030,20190426 20190502 20190722
576,307160,20190910
577,308100,20190711
578,317850,20190910
579,900040,20190220 20190415
580,900100,20190109 20190307
581,900110,20190412
582,900250,20190222
583,900260,20190218
584,900270,20190226 20190412 20190808
585,900290,20190902
586,900310,20190830 20190902
587,900340,20190225 20190830 20190902
