,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio,obv,date,open_,low,high,close,volume,range_position,month_ma5_score,week_ma5_score,week_ma20_score,week_golden_cross,week_dead_cross,week_up,week_down
10,000430,20190226,1.0,종       합,386.0,수소차,대원강업,201902,20190423,0,20180301,20190226,20180228,20190131,20180803,20190222,20190216,0.010170258064516128,per_vol,0,-0.00024998387096774195,0.0001825,8.233870967741935e-05,0.00023711290322580645,0.0,3.0306451612903226e-05,3.519354838709677e-05,-0.009908258064516128,-0.00017832258064516128,-0.0004189516129032258,1.7806451612903224e-05,0.010170258064516128,0.0003352741935483871,-0.0005972741935483871,-0.009890451612903226,16725526.0,20190226,5230,5220,6220,5450,9286773,0.23,0.3,1.0,1.0,0,0,5,0
11,000885,20190423,8.0,화       학,,,한화우,201904,20190430,1,20180501,20190423,20180430,20190331,20180928,20190419,20190413,0.03218789144050104,per_vol,1,0.0,-0.007068893528183716,0.0,0.0,0.0,-0.0010605427974947808,0.0,-0.0011106471816283924,-0.025858037578288102,0.0029102296450939456,0.0,0.03218789144050104,-0.008129436325678497,-0.022947807933194155,-0.0011106471816283924,2087446.0,20190423,48300,48200,61700,53400,1036860,0.3851851851851852,0.3,0.8500000000000001,0.6499999999999999,0,0,5,0
12,000885,20190430,8.0,화       학,,,한화우,201904,20190927,0,20180501,20190430,20180430,20190331,20181005,20190426,20190420,0.03462839248434238,per_vol,1,-0.0010438413361169101,-0.007068893528183716,0.0,0.0,0.0,-0.0010605427974947808,0.0,-0.0011482254697286012,-0.026789144050104383,0.0024822546972860125,0.0,0.03462839248434238,-0.009173277661795407,-0.02430688935281837,-0.0011482254697286012,1840304.0,20190430,39950,37500,47500,44150,804829,0.665,0.3,0.8500000000000001,0.7,0,0,5,0
13,000885,20190927,8.0,화       학,,,한화우,201909,20190403,0,20181001,20190927,20180930,20190831,20190301,20190920,20190917,0.0009018789144050104,com_vol,0,0.0,0.0008997912317327766,0.0,0.0,0.0,2.0876826722338207e-06,0.0,-0.0012045929018789144,-0.0005678496868475991,0.00018580375782881002,0.0,0.0006847599164926931,0.0009018789144050104,-0.00038204592901878916,-0.0012045929018789144,3144900.0,20190927,35800,34000,40950,38550,762045,0.6546762589928058,1.0,0.0,0.3,0,0,0,5
14,000890,20190403,4.0,소   형  주,421.0,日 불매운동 관련주,보해양조,201904,20190515,0,20180501,20190403,20180430,20190331,20180907,20190329,20190324,0.0174502928153121,per_vol,1,0.003754860416765859,-0.008274643304924693,1.7592724848831118e-05,-0.002479526734276056,0.0,0.0,0.0011256169753527275,-0.0022643114475709818,-0.009712691837673983,0.00036912187147867767,1.368852068752083e-05,0.0174502928153121,-0.005842411401545811,-0.009343569966195306,-0.002250622926883461,753522718.0,20190403,1540,1535,1735,1635,21477604,0.5,1.0,0.0,1.0,0,1,3,2
15,000890,20190515,4.0,소   형  주,421.0,日 불매운동 관련주,보해양조,201905,20190520,1,20180601,20190515,20180531,20190430,20181019,20190510,20190505,0.06310812741036995,per_vol,1,-0.026399934929930646,-0.05173758510688949,2.1393769144090527e-05,-0.005267342760558015,0.0,-0.00612587884270501,0.002251511688806361,0.0008658128203907379,0.022587384341919408,0.0006828230887650971,1.368852068752083e-05,0.06310812741036995,-0.08724414766144518,0.023270207430684507,0.0008795013410782586,806293136.0,20190515,1205,1190,1550,1550,81894808,1.0,1.0,0.0,0.3,0,0,0,5
16,000890,20190520,4.0,소   형  주,421.0,日 불매운동 관련주,보해양조,201905,20190905,0,20180601,20190520,20180531,20190430,20181026,20190517,20190510,0.128360726245457,per_vol,1,-0.03199741306797441,-0.05171977812693425,2.1901633100033328e-05,-0.00901689441190941,0.0,-0.00612587884270501,0.0024398816042152708,-0.010139726070878763,-0.02268456093573934,0.000848053452681363,1.368852068752083e-05,0.128360726245457,-0.09638449269152026,-0.021836507483057977,-0.010126037550191242,891980513.0,20190520,1770,1605,1795,1625,105005491,0.10526315789473684,1.0,0.0,0.15,0,0,0,5
17,000890,20190905,4.0,소   형  주,421.0,日 불매운동 관련주,보해양조,201909,20190114,0,20181001,20190905,20180930,20190831,20190208,20190830,20190826,0.11859016172292847,per_vol,1,-0.04162948943801679,-0.07036374168769541,0.00014098779539430874,-0.010900069831293942,0.0,-0.006125870907330699,0.004457736196416385,-0.011594216699201701,0.015486628894284944,0.0019241854338269135,1.368852068752083e-05,0.11859016172292847,-0.12440675935183862,0.017410814328111857,-0.01158052817851418,1062392663.0,20190905,1155,1155,1320,1220,72872933,0.3939393939393939,0.15,0.3,0.0,0,0,0,5
18,000910,20190114,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201901,20190115,1,20180201,20190114,20180131,20181231,20180622,20190111,20190104,0.0073860491929285165,for_reg_vol,0,-0.0009178196259287727,0.0007325775044837305,0.00010517550602100949,-0.0008524212144504227,-0.0019855880092236743,0.0,0.0,-0.005506789648987958,0.0073860491929285165,-3.145016653856008e-05,0.0,0.0010702664616961313,-0.0029180758390981295,0.007354599026389956,-0.005506789648987958,18462837.0,20190114,4000,3940,5110,5110,4461047,1.0,0.0,0.35,0.0,0,0,0,5
19,000910,20190115,4.0,소   형  주,298.0,희귀금속(희토류 등),유니온,201901,20190513,0,20180201,20190115,20180131,20181231,20180622,20190111,20190105,0.005930181911350243,per_vol,0,-0.0009178196259287727,0.000665065334358186,0.00010517550602100949,-0.0008539584934665642,-0.0019855880092236743,0.0,0.0,-0.005854663079682296,0.002835447091980528,7.615936459133999e-05,0.0,0.005930181911350243,-0.0029871252882398155,0.0029116064565718677,-0.005854663079682296,26137004.0,20190115,5300,5110,5740,5390,7674167,0.4444444444444444,0.0,0.35,0.0,0,0,0,5
