,shcode,date,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio
231,000890,20190515,0.06310812741036995,per_vol,1,-0.026399934929930646,-0.05173758510688949,2.1393769144090527e-05,-0.005267342760558015,0.0,-0.00612587884270501,0.002251511688806361,0.0008658128203907379,0.022587384341919408,0.0006828230887650971,1.368852068752083e-05,0.06310812741036995,-0.08724414766144518,0.023270207430684507,0.0008795013410782586
234,000890,20190520,0.128360726245457,per_vol,1,-0.03199741306797441,-0.05171977812693425,2.1901633100033328e-05,-0.00901689441190941,0.0,-0.00612587884270501,0.0024398816042152708,-0.010139726070878763,-0.02268456093573934,0.000848053452681363,1.368852068752083e-05,0.128360726245457,-0.09638449269152026,-0.021836507483057977,-0.010126037550191242
230,000890,20190905,0.11859016172292847,per_vol,1,-0.04162948943801679,-0.07036374168769541,0.00014098779539430874,-0.010900069831293942,0.0,-0.006125870907330699,0.004457736196416385,-0.011594216699201701,0.015486628894284944,0.0019241854338269135,1.368852068752083e-05,0.11859016172292847,-0.12440675935183862,0.017410814328111857,-0.01158052817851418
230,000910,20190114,0.0073860491929285165,for_reg_vol,0,-0.0009178196259287727,0.0007325775044837305,0.00010517550602100949,-0.0008524212144504227,-0.0019855880092236743,0.0,0.0,-0.005506789648987958,0.0073860491929285165,-3.145016653856008e-05,0.0,0.0010702664616961313,-0.0029180758390981295,0.007354599026389956,-0.005506789648987958
231,000910,20190115,0.005930181911350243,per_vol,0,-0.0009178196259287727,0.000665065334358186,0.00010517550602100949,-0.0008539584934665642,-0.0019855880092236743,0.0,0.0,-0.005854663079682296,0.002835447091980528,7.615936459133999e-05,0.0,0.005930181911350243,-0.0029871252882398155,0.0029116064565718677,-0.005854663079682296
229,000910,20190513,0.010359915449654112,per_vol,1,-2.0625160133230847e-05,0.0005978734306943377,-0.0006346400204970535,-0.0005177427619779657,-0.001672111196515501,-0.0006405329233922624,0.0007738918780425313,-0.0007441711503971304,-0.008364655393287216,0.0008627978478093774,0.0,0.010359915449654112,-0.0021138867537791443,-0.007501857545477837,-0.0007441711503971304
235,000910,20190521,0.015183256469382527,per_vol,1,-1.0504739943633102e-05,0.0006638483218037408,-0.0006346400204970535,-0.0005178708685626441,-0.001672111196515501,-0.0006405329233922624,0.0007738918780425313,-0.0014236484755316423,-0.01244452984883423,0.0007228414040481681,0.0,0.015183256469382527,-0.002037919549064822,-0.011721688444786061,-0.0014236484755316423
236,000910,20190522,0.01736497565974891,per_vol,1,-1.0504739943633102e-05,0.0006651934409428645,-0.0006346400204970535,-0.0005174224955162695,-0.001672111196515501,-0.0006405329233922624,0.0007738918780425313,-0.002516653856008199,-0.01392467332820907,0.0011124775813476813,0.0,0.01736497565974891,-0.0020361260568793234,-0.012812195746861389,-0.002516653856008199
237,000910,20190523,0.016528439661798615,per_vol,1,-1.0504739943633102e-05,0.0006715987701767871,-0.0006346400204970535,-0.0005174224955162695,-0.001672111196515501,-0.0006405329233922624,0.0007738918780425313,-0.002310017934921855,-0.013727453241096593,0.0015387522418652318,0.0,0.016528439661798615,-0.002029720727645401,-0.012188700999231361,-0.002310017934921855
228,000910,20190808,0.08383429413271842,per_vol,1,-0.03599141685882654,0.0001481552651806303,0.00021150397130412503,0.03445926210607225,-0.0016320778888034846,-0.0006404688700999231,0.0017960543171919037,-0.038466307968229564,-0.04389725851908788,0.0001782603125800666,0.0,0.08383429413271842,-0.0016489879579810402,-0.04371899820650781,-0.038466307968229564
