,shcode,date,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio
238,000080,20190424,0.040507428636609916,per_vol,1,0.004080973564890068,0.005235178372829156,3.2851398750962446e-05,0.007657740895999087,-0.00023296831779165598,7.753728576724556e-05,0.001919240311403884,-0.00032296746228648016,-0.05765618672826304,-8.161519377192232e-05,-0.001217212764137223,0.040507428636609916,0.017553340747711525,-0.05773780192203496,-0.0015401802264237033
227,000140,20190708,0.012062825871504288,for_reg_vol,1,0.005641142758650407,0.0018712888352652216,0.00038234153488171674,2.1889946998750376e-05,-0.0005659499289007627,0.0,0.0023608394019045977,-0.024453311500840264,0.012062825871504288,-6.502348429353212e-05,1.78394449950446e-05,0.0027261171198345326,0.009729391993794976,0.011997802387210755,-0.02443547205584522
242,000140,20190729,0.016019089067953636,com_vol,1,0.011484552074805015,0.001966647994139699,0.00038234153488171674,0.0002992200629120524,-0.0005659499289007627,0.0,0.0024344378851208688,-0.02568048433662257,0.007352824578790882,-2.3915198000603266e-05,1.78394449950446e-05,0.0023324858878786573,0.016019089067953636,0.007328909380790278,-0.025662644891627527
232,000150,20190416,0.011377995642701526,samo_vol,1,0.011377995642701526,0.004154986686032438,-0.0009756112321471799,-0.009473311546840958,-0.000670721374969741,-0.0006679980634229,-0.005125695957395304,-0.0002667029774872912,0.000990075042362624,5.301379811183733e-05,0.004267913338174776,-0.0036639433551198257,0.0028875574921326556,0.0010430888404744615,0.004001210360687485
241,000150,20190726,0.04364651416122004,com_vol,1,0.0164320987654321,0.00423160251755023,0.008634229000242072,0.004311244250786735,-0.0011937787460663278,-0.00013217138707334787,0.005446441539578795,0.0005784918905833938,-0.0017868554829339144,0.00031251512950859355,0.005916848220769789,-0.04275066569837812,0.04364651416122004,-0.0014743403534253207,0.006495340111353183
227,000230,20191106,0.017017904207943288,per_vol,1,-0.0003597200763428156,6.643642642915568e-05,0.00017140779787330727,0.0011547759701899482,0.0,9.088430428065073e-08,0.0009816413705353085,-0.013127783331818596,-0.005888939380169045,-1.581386894483323e-05,0.0,0.017017904207943288,0.002014632372989185,-0.005904753249113878,-0.013127783331818596
228,000300,20190510,0.020825431341455307,per_vol,1,-0.014518122513317697,0.00023797134202504963,0.0004959500906837843,-0.0001410299019095821,0.0,0.0,0.0001097511181168159,0.00028321827729297034,-0.007493728100578287,0.00020055834623163772,0.0,0.020825431341455307,-0.013815479864401629,-0.00729316975434665,0.00028321827729297034
240,000390,20190725,0.03588233291728129,etcom_vol,1,-0.008108287000264761,0.006828700026476039,-0.0049293467982904045,-0.003204092439199667,-1.891145656038428e-06,-0.0005348538144407882,-0.021067097847876245,0.03588233291728129,-0.0009114943832974015,0.000675101176292598,-0.0008697378872120731,-0.0037593328038125497,-0.031886606906463937,-0.00023639320700480351,0.03501259503006922
228,000400,20190903,0.01013178941534337,per_vol,1,-0.0015807318519282325,-0.0010068828624458651,-1.6585249535986802e-05,-0.001260140621777686,-8.248156836461126e-05,5.9500025778511036e-05,-0.009773948236749845,0.0007004762579913384,0.0028017278047020003,1.9569112188080015e-05,7.707774798927613e-06,0.01013178941534337,-0.013653562590224788,0.0028212969168900804,0.000708184032790266
230,000430,20190212,0.001222225806451613,per_vol,0,-0.00024998387096774195,2.6629032258064515e-05,0.00015335483870967742,0.00023711290322580645,0.0,3.0306451612903226e-05,3.97741935483871e-05,-0.002212338709677419,0.0011483709677419355,-0.00041325806451612904,1.7806451612903224e-05,0.001222225806451613,0.000255,0.0007351129032258064,-0.0021945322580645163
240,000430,20190226,0.010170258064516128,per_vol,0,-0.00024998387096774195,0.0001825,8.233870967741935e-05,0.00023711290322580645,0.0,3.0306451612903226e-05,3.519354838709677e-05,-0.009908258064516128,-0.00017832258064516128,-0.0004189516129032258,1.7806451612903224e-05,0.010170258064516128,0.0003352741935483871,-0.0005972741935483871,-0.009890451612903226
237,000885,20190423,0.03218789144050104,per_vol,1,0.0,-0.007068893528183716,0.0,0.0,0.0,-0.0010605427974947808,0.0,-0.0011106471816283924,-0.025858037578288102,0.0029102296450939456,0.0,0.03218789144050104,-0.008129436325678497,-0.022947807933194155,-0.0011106471816283924
242,000885,20190430,0.03462839248434238,per_vol,1,-0.0010438413361169101,-0.007068893528183716,0.0,0.0,0.0,-0.0010605427974947808,0.0,-0.0011482254697286012,-0.026789144050104383,0.0024822546972860125,0.0,0.03462839248434238,-0.009173277661795407,-0.02430688935281837,-0.0011482254697286012
244,000885,20190927,0.0009018789144050104,com_vol,0,0.0,0.0008997912317327766,0.0,0.0,0.0,2.0876826722338207e-06,0.0,-0.0012045929018789144,-0.0005678496868475991,0.00018580375782881002,0.0,0.0006847599164926931,0.0009018789144050104,-0.00038204592901878916,-0.0012045929018789144
223,000890,20190403,0.0174502928153121,per_vol,1,0.003754860416765859,-0.008274643304924693,1.7592724848831118e-05,-0.002479526734276056,0.0,0.0,0.0011256169753527275,-0.0022643114475709818,-0.009712691837673983,0.00036912187147867767,1.368852068752083e-05,0.0174502928153121,-0.005842411401545811,-0.009343569966195306,-0.002250622926883461
